model_family,latent_dim,target,arm,mae,r2
conditional_ae,8,curvature_index_sd,direct_context,0.039296494581096485,-0.11614150886887198
conditional_ae,8,curvature_index_sd,latent_probe,0.054673018866160994,-0.12982355450341262
conditional_ae,8,initiation_time_s_mean,development_constant,0.03038119246223941,-0.11572525170944692
conditional_ae,8,initiation_time_s_mean,direct_context,0.009274765744360845,0.9115361719368679
conditional_ae,8,initiation_time_s_mean,latent_probe,0.01606056705047702,0.6928958201827652
conditional_ae,8,initiation_time_s_sd,development_constant,0.01402803906771552,-0.046102410308510366
conditional_ae,8,initiation_time_s_sd,direct_context,0.010928194745774574,0.4049732329750291
conditional_ae,8,initiation_time_s_sd,latent_probe,0.015022306972922063,-0.18790908214019528
conditional_ae,8,max_lateral_deviation_mean,development_constant,0.2138667539729581,-0.1138153861432658
conditional_ae,8,max_lateral_deviation_mean,direct_context,0.03830300779219764,0.9628798991285201
conditional_ae,8,max_lateral_deviation_mean,latent_probe,0.1677771118028152,0.12211200984437558
conditional_ae,8,max_lateral_deviation_sd,development_constant,0.10394045872296069,-0.2153357528484987
conditional_ae,8,max_lateral_deviation_sd,direct_context,0.06695761603826796,0.27222326617259407
conditional_ae,8,max_lateral_deviation_sd,latent_probe,0.11156125850742289,-0.35127406367076675
conditional_ae,8,movement_time_s_mean,development_constant,0.048762006937175216,-0.09447728304811642
conditional_ae,8,movement_time_s_mean,direct_context,0.011049426775781449,0.924468009833891
conditional_ae,8,movement_time_s_mean,latent_probe,0.04491491729107328,-0.5707076804356369
conditional_ae,8,movement_time_s_sd,development_constant,0.03244078483683542,-0.10032126529847196
conditional_ae,8,movement_time_s_sd,direct_context,0.027879019640692417,0.016574899146142075
conditional_ae,8,movement_time_s_sd,latent_probe,0.0324406837686544,-0.08725767777347888
conditional_ae,8,n_submovements_mean,development_constant,0.06645986803327505,-0.23439231723011722
conditional_ae,8,n_submovements_mean,direct_context,0.021629173314821646,0.8830840832761294
conditional_ae,8,n_submovements_mean,latent_probe,0.06431401314070766,-0.21817303994549123
conditional_ae,8,n_submovements_sd,development_constant,0.13441114364911505,-0.2821818991505536
conditional_ae,8,n_submovements_sd,direct_context,0.07928217167560737,0.49718905993137713
conditional_ae,8,n_submovements_sd,latent_probe,0.13328055623325638,-0.25554230461964944
conditional_ae,8,path_length_mean,development_constant,0.3690595943775106,-0.25916971379885756
conditional_ae,8,path_length_mean,direct_context,0.16235443379203612,0.42588662239596453
conditional_ae,8,path_length_mean,latent_probe,0.3515145132615678,-0.1954777469368015
conditional_ae,8,path_length_sd,development_constant,0.672800730643301,-0.09305006053037967
conditional_ae,8,path_length_sd,direct_context,0.43754868935823765,0.03083011909391009
conditional_ae,8,path_length_sd,latent_probe,0.6848987762591904,-0.10119169172722597
conditional_ae,8,peak_speed_tracker_units_s_mean,development_constant,11.875679048106917,-0.031971228408443464
conditional_ae,8,peak_speed_tracker_units_s_mean,direct_context,1.734399404616129,0.9760682559025359
conditional_ae,8,peak_speed_tracker_units_s_mean,latent_probe,9.517035280788201,0.04890606921335853
conditional_ae,8,peak_speed_tracker_units_s_sd,development_constant,2.646218813161273,-0.08942194549115734
conditional_ae,8,peak_speed_tracker_units_s_sd,direct_context,1.7073778429041588,0.4666787750204573
conditional_ae,8,peak_speed_tracker_units_s_sd,latent_probe,2.441608947500181,-0.0009947954109391273
cvae,3,curvature_index_mean,development_constant,0.015715778847694335,-0.19878522204786497
cvae,3,curvature_index_mean,direct_context,0.008086585024790609,0.10352986469617198
cvae,3,curvature_index_mean,latent_probe,0.01573655444338457,-0.24233272798469238
cvae,3,curvature_index_sd,development_constant,0.054119437963674,-0.1235650321086268
cvae,3,curvature_index_sd,direct_context,0.039296494581096485,-0.11614150886887198
cvae,3,curvature_index_sd,latent_probe,0.05419299601313308,-0.12345152905544825
cvae,3,initiation_time_s_mean,development_constant,0.03038119246223941,-0.11572525170944692
cvae,3,initiation_time_s_mean,direct_context,0.009274765744360845,0.9115361719368679
cvae,3,initiation_time_s_mean,latent_probe,0.014778157736930668,0.7226725232887964
cvae,3,initiation_time_s_sd,development_constant,0.01402803906771552,-0.046102410308510366
cvae,3,initiation_time_s_sd,direct_context,0.010928194745774574,0.4049732329750291
cvae,3,initiation_time_s_sd,latent_probe,0.0137174715855804,-0.010767793792181438
cvae,3,max_lateral_deviation_mean,development_constant,0.2138667539729581,-0.1138153861432658
cvae,3,max_lateral_deviation_mean,direct_context,0.03830300779219764,0.9628798991285201
cvae,3,max_lateral_deviation_mean,latent_probe,0.18834806285052744,0.05988906979200148
cvae,3,max_lateral_deviation_sd,development_constant,0.10394045872296069,-0.2153357528484987
cvae,3,max_lateral_deviation_sd,direct_context,0.06695761603826796,0.27222326617259407
cvae,3,max_lateral_deviation_sd,latent_probe,0.11167024254310769,-0.4262207497727415
cvae,3,movement_time_s_mean,development_constant,0.048762006937175216,-0.09447728304811642
cvae,3,movement_time_s_mean,direct_context,0.011049426775781449,0.924468009833891
cvae,3,movement_time_s_mean,latent_probe,0.0364442219228183,0.026147646610100012
cvae,3,movement_time_s_sd,development_constant,0.03244078483683542,-0.10032126529847196
cvae,3,movement_time_s_sd,direct_context,0.027879019640692417,0.016574899146142075
cvae,3,movement_time_s_sd,latent_probe,0.030950604499547785,-0.10917485153822688
cvae,3,n_submovements_mean,development_constant,0.06645986803327505,-0.23439231723011722
cvae,3,n_submovements_mean,direct_context,0.021629173314821646,0.8830840832761294
cvae,3,n_submovements_mean,latent_probe,0.06774217838799614,-0.3048902112989194
cvae,3,n_submovements_sd,development_constant,0.13441114364911505,-0.2821818991505536
cvae,3,n_submovements_sd,direct_context,0.07928217167560737,0.49718905993137713
cvae,3,n_submovements_sd,latent_probe,0.13867634033388665,-0.35437352428691365
cvae,3,path_length_mean,development_constant,0.3690595943775106,-0.25916971379885756
cvae,3,path_length_mean,direct_context,0.16235443379203612,0.42588662239596453
cvae,3,path_length_mean,latent_probe,0.3857895202418917,-0.3879792255308199
cvae,3,path_length_sd,development_constant,0.672800730643301,-0.09305006053037967
cvae,3,path_length_sd,direct_context,0.43754868935823765,0.03083011909391009
cvae,3,path_length_sd,latent_probe,0.6769962196819842,-0.09871080893541406
cvae,3,peak_speed_tracker_units_s_mean,development_constant,11.875679048106917,-0.031971228408443464
cvae,3,peak_speed_tracker_units_s_mean,direct_context,1.734399404616129,0.9760682559025359
cvae,3,peak_speed_tracker_units_s_mean,latent_probe,7.743536922834447,0.35639773476042924
cvae,3,peak_speed_tracker_units_s_sd,development_constant,2.646218813161273,-0.08942194549115734
cvae,3,peak_speed_tracker_units_s_sd,direct_context,1.7073778429041588,0.4666787750204573
cvae,3,peak_speed_tracker_units_s_sd,latent_probe,2.6266126738925046,-0.10326476579683426
cvae,8,curvature_index_mean,development_constant,0.015715778847694335,-0.19878522204786497
cvae,8,curvature_index_mean,direct_context,0.008086585024790609,0.10352986469617198
cvae,8,curvature_index_mean,latent_probe,0.015725141483867222,-0.21546996511153158
cvae,8,curvature_index_sd,development_constant,0.054119437963674,-0.1235650321086268
cvae,8,curvature_index_sd,direct_context,0.039296494581096485,-0.11614150886887198
cvae,8,curvature_index_sd,latent_probe,0.054569841724521985,-0.1411834958722884
cvae,8,initiation_time_s_mean,development_constant,0.03038119246223941,-0.11572525170944692
cvae,8,initiation_time_s_mean,direct_context,0.009274765744360845,0.9115361719368679
cvae,8,initiation_time_s_mean,latent_probe,0.014711270608806745,0.7067719209634551
cvae,8,initiation_time_s_sd,development_constant,0.01402803906771552,-0.046102410308510366
cvae,8,initiation_time_s_sd,direct_context,0.010928194745774574,0.4049732329750291
cvae,8,initiation_time_s_sd,latent_probe,0.014448567554301581,-0.03155966353925521
cvae,8,max_lateral_deviation_mean,development_constant,0.2138667539729581,-0.1138153861432658
cvae,8,max_lateral_deviation_mean,direct_context,0.03830300779219764,0.9628798991285201
cvae,8,max_lateral_deviation_mean,latent_probe,0.159231909392799,0.31938523693335386
cvae,8,max_lateral_deviation_sd,development_constant,0.10394045872296069,-0.2153357528484987
cvae,8,max_lateral_deviation_sd,direct_context,0.06695761603826796,0.27222326617259407
cvae,8,max_lateral_deviation_sd,latent_probe,0.09988569426607662,-0.21432805629174742
cvae,8,movement_time_s_mean,development_constant,0.048762006937175216,-0.09447728304811642
cvae,8,movement_time_s_mean,direct_context,0.011049426775781449,0.924468009833891
cvae,8,movement_time_s_mean,latent_probe,0.037349244251387366,0.11308166025368116
cvae,8,movement_time_s_sd,development_constant,0.03244078483683542,-0.10032126529847196
cvae,8,movement_time_s_sd,direct_context,0.027879019640692417,0.016574899146142075
cvae,8,movement_time_s_sd,latent_probe,0.03261743915598576,-0.1050809113855417
cvae,8,n_submovements_mean,development_constant,0.06645986803327505,-0.23439231723011722
cvae,8,n_submovements_mean,direct_context,0.021629173314821646,0.8830840832761294
cvae,8,n_submovements_mean,latent_probe,0.06613287621141291,-0.266919663156491
cvae,8,n_submovements_sd,development_constant,0.13441114364911505,-0.2821818991505536
cvae,8,n_submovements_sd,direct_context,0.07928217167560737,0.49718905993137713
cvae,8,n_submovements_sd,latent_probe,0.13371156462333003,-0.2569991435514642
cvae,8,path_length_mean,development_constant,0.3690595943775106,-0.25916971379885756
cvae,8,path_length_mean,direct_context,0.16235443379203612,0.42588662239596453
cvae,8,path_length_mean,latent_probe,0.32983119976299613,-0.1302196343618487
cvae,8,path_length_sd,development_constant,0.672800730643301,-0.09305006053037967
cvae,8,path_length_sd,direct_context,0.43754868935823765,0.03083011909391009
cvae,8,path_length_sd,latent_probe,0.6891981333561322,-0.11393867241227033
cvae,8,peak_speed_tracker_units_s_mean,development_constant,11.875679048106917,-0.031971228408443464
cvae,8,peak_speed_tracker_units_s_mean,direct_context,1.734399404616129,0.9760682559025359
cvae,8,peak_speed_tracker_units_s_mean,latent_probe,8.763032772648044,0.3203079141817339
cvae,8,peak_speed_tracker_units_s_sd,development_constant,2.646218813161273,-0.08942194549115734
