feature_view,latent_dim,metric,model_a,model_b,n,mean_a,mean_b,a_better_n,p,q_bh_72,p_holm_72
original,8,mean_ks,conditional_ae,unconditional_vae,28,0.2586862157259098,0.21512115987954528,6,7.204711437225342e-05,0.00017887559430352574,0.0033141672611236572
original,8,mean_ks,cvae,unconditional_vae,28,0.2194040015986948,0.21512115987954528,13,0.0987313843820622,0.12256309785359447,1.0
original,8,energy_distance,spline_pca,conditional_ae,28,0.7347145035712234,0.6202242242032429,9,0.05953092873096466,0.07653976551124028,1.0
original,8,energy_distance,spline_pca,cvae,28,0.7347145035712234,0.4304511589728176,3,2.2873282432556152e-06,2.3526804787772043e-05,0.0001509636640548706
original,8,energy_distance,spline_pca,unconditional_vae,28,0.7347145035712234,0.4110144331973188,2,6.556510925292969e-07,1.475214958190918e-05,4.589557647705078e-05
original,8,energy_distance,conditional_ae,cvae,28,0.6202242242032429,0.4304511589728176,6,0.0004729032516479492,0.0008730521568885217,0.016078710556030273
original,8,energy_distance,conditional_ae,unconditional_vae,28,0.6202242242032429,0.4110144331973188,5,0.00011970102787017822,0.00027801529053718817,0.005147144198417664
original,8,energy_distance,cvae,unconditional_vae,28,0.4304511589728176,0.4110144331973188,9,0.01563260704278946,0.02297036136899676,0.38750998925015473
original,8,mmd_rbf,spline_pca,conditional_ae,28,0.11529063380077322,0.11113481142118399,13,0.7450922578573227,0.7889212142018711,1.0
original,8,mmd_rbf,spline_pca,cvae,28,0.11529063380077322,0.06749342391175368,3,3.993511199951172e-06,2.875328063964844e-05,0.000255584716796875
original,8,mmd_rbf,spline_pca,unconditional_vae,28,0.11529063380077322,0.06388130250594583,2,1.259148120880127e-06,1.8131732940673827e-05,8.562207221984863e-05
original,8,mmd_rbf,conditional_ae,cvae,28,0.11113481142118399,0.06749342391175368,5,0.0001721307635307312,0.00036451220512390137,0.006713099777698517
original,8,mmd_rbf,conditional_ae,unconditional_vae,28,0.11113481142118399,0.06388130250594583,5,3.17990779876709e-05,0.00010406970977783203,0.0016217529773712158
original,8,mmd_rbf,cvae,unconditional_vae,28,0.06749342391175368,0.06388130250594583,10,0.033681392669677734,0.04575585419276975,0.6736278533935547
reduced,3,mean_ks,spline_pca,conditional_ae,28,0.3264442375974473,0.2813797017978565,6,0.00025725024483005233,0.0005292005036503933,0.009775509303541988
reduced,3,mean_ks,spline_pca,cvae,28,0.3264442375974473,0.27259970903563213,2,5.21540641784668e-08,3.7550926208496094e-06,3.7550926208496094e-06
reduced,3,mean_ks,spline_pca,unconditional_vae,28,0.3264442375974473,0.27676691965698436,2,8.195638656616211e-07,1.475214958190918e-05,5.6549906730651855e-05
reduced,3,mean_ks,conditional_ae,cvae,28,0.2813797017978565,0.27259970903563213,9,0.07741569727659225,0.09778824919148495,1.0
reduced,3,mean_ks,conditional_ae,unconditional_vae,28,0.2813797017978565,0.27676691965698436,12,0.3620011880993843,0.4203884765025108,1.0
reduced,3,mean_ks,cvae,unconditional_vae,28,0.27259970903563213,0.27676691965698436,19,0.04506843671061314,0.06009124894748419,0.8563002975016497
reduced,3,energy_distance,spline_pca,conditional_ae,28,0.8824024112278678,0.7043935707004623,9,0.006548762321472168,0.010965369468511538,0.2030116319656372
reduced,3,energy_distance,spline_pca,cvae,28,0.8824024112278678,0.6610869420332245,4,7.204711437225342e-05,0.00017887559430352574,0.0033141672611236572
reduced,3,energy_distance,spline_pca,unconditional_vae,28,0.8824024112278678,0.6503755507097868,3,1.765042543411255e-05,6.688582269768966e-05,0.0009531229734420776
reduced,3,energy_distance,conditional_ae,cvae,28,0.7043935707004623,0.6610869420332245,6,0.02322421222925186,0.032787123147179104,0.510932669043541
reduced,3,energy_distance,conditional_ae,unconditional_vae,28,0.7043935707004623,0.6503755507097868,7,0.006548762321472168,0.010965369468511538,0.2030116319656372
reduced,3,energy_distance,cvae,unconditional_vae,28,0.6610869420332245,0.6503755507097868,16,0.6947018131613731,0.7578565234487706,1.0
reduced,3,mmd_rbf,spline_pca,conditional_ae,28,0.17736606525538748,0.14119334083809335,5,0.0003418475389480591,0.0006652168325475744,0.012306511402130127
reduced,3,mmd_rbf,spline_pca,cvae,28,0.17736606525538748,0.12925752313938035,4,1.5139579772949219e-05,6.0558319091796875e-05,0.000832676887512207
reduced,3,mmd_rbf,spline_pca,unconditional_vae,28,0.17736606525538748,0.12606377631593924,3,9.395182132720947e-06,4.227831959724426e-05,0.0005449205636978149
reduced,3,mmd_rbf,conditional_ae,cvae,28,0.14119334083809335,0.12925752313938035,7,0.014598868787288666,0.021898303180933,0.38750998925015473
reduced,3,mmd_rbf,conditional_ae,unconditional_vae,28,0.14119334083809335,0.12606377631593924,6,0.0018673688173294067,0.00327928182555408,0.059755802154541016
reduced,3,mmd_rbf,cvae,unconditional_vae,28,0.12925752313938035,0.12606377631593924,13,0.4247525781393051,0.47784665040671825,1.0
reduced,8,mean_ks,spline_pca,conditional_ae,28,0.25509267307999994,0.2574555484847489,12,0.9553221687674522,0.9687774105810784,1.0
reduced,8,mean_ks,spline_pca,cvae,28,0.25509267307999994,0.21941321852624585,4,2.0518898963928223e-05,7.38680362701416e-05,0.0010875016450881958
reduced,8,mean_ks,spline_pca,unconditional_vae,28,0.25509267307999994,0.21560003580134665,4,5.677342414855957e-06,3.716078671542081e-05,0.00035199522972106934
