model_family,latent_dim,seed,fold,subject,feature_view,n_features,mean_ks,energy_distance,mmd_rbf,reproduction_error
conditional_ae,3,42,0,subject27,original,11,0.2813131313131313,0.9828978015817333,0.19874558897389594,1.1102230246251565e-16
conditional_ae,3,42,0,subject27,reduced,9,0.2978395061728395,1.011933111253347,0.23308242555114822,0.0
conditional_ae,3,42,0,subject34,original,11,0.2967171717171717,0.8006662865698146,0.1444001384557152,6.938893903907228e-17
conditional_ae,3,42,0,subject34,reduced,9,0.2632716049382716,0.46966034863070893,0.11013341348364647,0.0
conditional_ae,3,42,0,subject35,original,11,0.21132840028188868,0.47237680039827223,0.08127701982452529,8.326672684688674e-17
conditional_ae,3,42,0,subject35,reduced,9,0.23772609819121449,0.5029831626565069,0.0978934526933688,0.0
conditional_ae,3,43,0,subject05,original,11,0.3406565656565656,0.9131785988422605,0.1795641743617714,1.1102230246251565e-16
conditional_ae,3,43,0,subject05,reduced,9,0.3324074074074074,0.8358646780942962,0.2078649635763593,0.0
conditional_ae,3,43,0,subject13,original,11,0.2535353535353535,0.49485346513414674,0.08215322501241351,5.551115123125783e-17
conditional_ae,3,43,0,subject13,reduced,9,0.24012345679012345,0.33425275080846895,0.08007367600286963,0.0
conditional_ae,3,43,0,subject19,original,11,0.2595959595959596,0.4617393188468326,0.09472611187620539,8.326672684688674e-17
conditional_ae,3,43,0,subject19,reduced,9,0.2830246913580247,0.48630519772914216,0.11808103904688572,0.0
conditional_ae,3,43,0,subject24,original,11,0.16540404040404041,0.17133461548549533,0.0286552966092688,8.326672684688674e-17
conditional_ae,3,43,0,subject24,reduced,9,0.16697530864197532,0.17641587527319613,0.037465981659793646,0.0
conditional_ae,3,43,0,subject27,original,11,0.2547979797979798,0.8459956842347474,0.17078142168128585,8.326672684688674e-17
conditional_ae,3,43,0,subject27,reduced,9,0.28117283950617283,0.8873816907327909,0.20239776262469056,0.0
conditional_ae,3,43,0,subject34,original,11,0.29823232323232324,0.7576475373843032,0.13364421538240578,8.326672684688674e-17
conditional_ae,3,43,0,subject34,reduced,9,0.2570987654320988,0.4310079222145684,0.0963631641313899,0.0
conditional_ae,3,43,0,subject35,original,11,0.19420366455250174,0.4118283621988348,0.07304563993125412,8.326672684688674e-17
conditional_ae,3,43,0,subject35,reduced,9,0.20320844099913868,0.40686055205284966,0.08144093328871083,0.0
conditional_ae,3,44,0,subject05,original,11,0.3606060606060606,0.9132210246327612,0.19199844261354027,7.806255641895632e-17
conditional_ae,3,44,0,subject05,reduced,9,0.36234567901234566,0.8921334685372133,0.22353032109816928,0.0
conditional_ae,3,44,0,subject13,original,11,0.24318181818181817,0.3726140113129808,0.0631602092622301,7.806255641895632e-17
conditional_ae,3,44,0,subject13,reduced,9,0.23333333333333334,0.29894335456998844,0.07336872679435447,0.0
conditional_ae,3,44,0,subject19,original,11,0.24368686868686867,0.5446582155751303,0.1179164516635195,6.938893903907228e-17
conditional_ae,3,44,0,subject19,reduced,9,0.2669753086419753,0.5338398080179512,0.13159310200147112,0.0
conditional_ae,3,44,0,subject24,original,11,0.17954545454545454,0.29743369607678405,0.053985168342213674,8.326672684688674e-17
conditional_ae,3,44,0,subject24,reduced,9,0.17685185185185187,0.26337100876334363,0.05853727877463066,0.0
conditional_ae,3,44,0,subject27,original,11,0.29393939393939394,1.2195092214654135,0.25434275976107956,5.551115123125783e-17
conditional_ae,3,44,0,subject27,reduced,9,0.3209876543209877,1.292599913401148,0.2972561760479122,0.0
conditional_ae,3,44,0,subject34,original,11,0.3196969696969697,0.7123108242956002,0.14353789279608198,8.326672684688674e-17
conditional_ae,3,44,0,subject34,reduced,9,0.3021604938271605,0.5998069703080442,0.1442474683584538,0.0
conditional_ae,3,44,0,subject35,original,11,0.21231501057082455,0.5033343216744788,0.08397135256854349,8.326672684688674e-17
conditional_ae,3,44,0,subject35,reduced,9,0.2095176571920758,0.5216207075800887,0.0952455602569523,0.0
conditional_ae,8,42,0,subject05,original,11,0.2972222222222222,0.6996909284532462,0.17725669966580548,8.326672684688674e-17
conditional_ae,8,42,0,subject05,reduced,9,0.30987654320987656,0.675973020097929,0.20677210969683146,0.0
conditional_ae,8,42,0,subject13,original,11,0.3328282828282828,0.8039796136000783,0.14777932180375597,8.326672684688674e-17
conditional_ae,8,42,0,subject13,reduced,9,0.3265432098765432,0.588788589101632,0.1538699840750154,0.0
conditional_ae,8,42,0,subject19,original,11,0.31818181818181823,0.7808409975991948,0.16623060804372491,6.591949208711867e-17
conditional_ae,8,42,0,subject19,reduced,9,0.3163580246913581,0.6663699239193939,0.1774495357328253,0.0
conditional_ae,8,42,0,subject24,original,11,0.18106060606060603,0.21534064937294284,0.04226926607519377,8.326672684688674e-17
conditional_ae,8,42,0,subject24,reduced,9,0.195679012345679,0.23258970061397077,0.05507132093492917,0.0
conditional_ae,8,42,0,subject27,original,11,0.2669191919191919,0.7131789463299563,0.14418740739286784,5.551115123125783e-17
conditional_ae,8,42,0,subject27,reduced,9,0.2719135802469136,0.724534695488916,0.16500113672671968,0.0
conditional_ae,8,42,0,subject34,original,11,0.23813131313131308,0.49824388103156636,0.09259512019061233,8.326672684688674e-17
conditional_ae,8,42,0,subject34,reduced,9,0.22314814814814815,0.4274892661782186,0.10479362467228104,0.0
conditional_ae,8,42,0,subject35,original,11,0.20019379844961235,0.42608742222379625,0.06724267416319585,8.326672684688674e-17
conditional_ae,8,42,0,subject35,reduced,9,0.21115417743324716,0.4357167469296268,0.07388384962826189,0.0
conditional_ae,8,43,0,subject05,original,11,0.35353535353535354,0.845594307155964,0.18595844574063414,5.551115123125783e-17
conditional_ae,8,43,0,subject05,reduced,9,0.3515432098765432,0.7166530075168689,0.1954050338661838,0.0
conditional_ae,8,43,0,subject13,original,11,0.3343434343434344,0.8923747472374934,0.16116108159107956,8.326672684688674e-17
conditional_ae,8,43,0,subject13,reduced,9,0.3277777777777778,0.6932641258752659,0.17854919107735312,0.0
conditional_ae,8,43,0,subject19,original,11,0.3313131313131313,0.778816599589744,0.15300968010938898,8.326672684688674e-17
conditional_ae,8,43,0,subject19,reduced,9,0.3311728395061728,0.6143131363054435,0.15516388044859852,0.0
conditional_ae,8,43,0,subject24,original,11,0.16742424242424245,0.19199637947528592,0.0364204047113551,8.326672684688674e-17
conditional_ae,8,43,0,subject24,reduced,9,0.18024691358024691,0.19739120926761267,0.043566051929927796,0.0
conditional_ae,8,43,0,subject27,original,11,0.24217171717171715,0.553186064815018,0.11008216679626703,8.326672684688674e-17
conditional_ae,8,43,0,subject27,reduced,9,0.26080246913580246,0.5855471705770481,0.13063347198617592,0.0
conditional_ae,8,43,0,subject34,original,11,0.2994949494949495,1.0012736940457878,0.17066856649082118,8.326672684688674e-17
conditional_ae,8,43,0,subject34,reduced,9,0.25740740740740736,0.5724584771007457,0.1296712372436124,0.0
conditional_ae,8,43,0,subject35,original,11,0.2155567300916138,0.43781555040167364,0.07562735018037348,8.326672684688674e-17
conditional_ae,8,43,0,subject35,reduced,9,0.22657192075796725,0.45192699210358356,0.08489284613506787,0.0
conditional_ae,8,44,0,subject05,original,11,0.39444444444444443,1.1144316408274255,0.22860149018692322,5.551115123125783e-17
conditional_ae,8,44,0,subject05,reduced,9,0.38580246913580246,1.01362029107257,0.25397996711291104,0.0
conditional_ae,8,44,0,subject13,original,11,0.3146464646464647,0.8190996630963792,0.1529022359937693,5.551115123125783e-17
conditional_ae,8,44,0,subject13,reduced,9,0.308641975308642,0.6550399868568983,0.16896208802085533,0.0
conditional_ae,8,44,0,subject19,original,11,0.3058080808080808,0.718529878282598,0.15687554732979125,6.245004513516506e-17
conditional_ae,8,44,0,subject19,reduced,9,0.3135802469135803,0.6254776916473745,0.1706323450097489,0.0
conditional_ae,8,44,0,subject24,original,11,0.18888888888888886,0.22466813754232184,0.040277009833470157,8.326672684688674e-17
conditional_ae,8,44,0,subject24,reduced,9,0.20339506172839505,0.2304231828411738,0.046517368404593196,0.0
conditional_ae,8,44,0,subject27,original,11,0.24444444444444444,0.6657706846370504,0.13116218786359424,5.551115123125783e-17
conditional_ae,8,44,0,subject27,reduced,9,0.26203703703703707,0.7007942847973845,0.15296589930688986,0.0
conditional_ae,8,44,0,subject34,original,11,0.2626262626262626,0.7433009900878771,0.14734671633452345,5.551115123125783e-17
conditional_ae,8,44,0,subject34,reduced,9,0.2358024691358024,0.477958023240038,0.1250160805667867,0.0
conditional_ae,8,44,0,subject35,original,11,0.23301620859760394,0.5156203708187737,0.08295999344649219,8.326672684688674e-17
conditional_ae,8,44,0,subject35,reduced,9,0.22767011197243756,0.5314265833247553,0.09225233581778369,0.0
cvae,3,42,0,subject05,original,11,0.28787878787878785,0.6615730546463392,0.1336336307770014,8.326672684688674e-17
cvae,3,42,0,subject05,reduced,9,0.2941358024691358,0.7061326829708165,0.17214312877047822,0.0
cvae,3,42,0,subject13,original,11,0.17247474747474748,0.1725336912401283,0.02386051286421309,9.71445146547012e-17
cvae,3,42,0,subject13,reduced,9,0.16728395061728393,0.14043391396150184,0.02693616037523716,0.0
