model_family,latent_dim,fold,subject,feature_view,mean_ks,energy_distance,mmd_rbf
cvae,3,1,subject08,original,0.48501683501683496,2.759441750300105,0.4969559932808079
cvae,3,1,subject08,reduced,0.4888888888888889,2.6778117537026596,0.5034694573700778
cvae,3,1,subject18,original,0.34873737373737373,1.2486652326327297,0.22482982727364118
cvae,3,1,subject18,reduced,0.3781893004115226,1.3126978755101846,0.25764960345535276
cvae,3,1,subject23,original,0.2526094276094276,0.3799633872595565,0.05990295797970139
cvae,3,1,subject23,reduced,0.2301440329218107,0.21315341780770503,0.04177692160588494
cvae,3,1,subject25,original,0.32735690235690235,0.9209715030244019,0.1650007117400963
cvae,3,1,subject25,reduced,0.36049382716049383,0.924277345831359,0.17454201989696572
cvae,3,1,subject26,original,0.37373737373737376,1.46166534806532,0.22434911986826825
cvae,3,1,subject26,reduced,0.3337448559670782,1.1449013017539595,0.19128357268541332
cvae,3,1,subject41,original,0.36344211344211336,1.4796901151854485,0.13765902627571672
cvae,3,1,subject41,reduced,0.35080721747388416,1.349365818992118,0.12142785845671444
cvae,3,1,subject43,original,0.20841750841750842,0.2844334899731605,0.048609075912320665
cvae,3,1,subject43,reduced,0.2052469135802469,0.27315681467192093,0.05407909110612604
cvae,3,2,subject01,original,0.2207070707070707,0.32164747056604986,0.056116198944530904
cvae,3,2,subject01,reduced,0.18117283950617283,0.1639421161441006,0.026819645471163334
cvae,3,2,subject04,original,0.22348484848484848,0.29593789050259406,0.055631920251700794
cvae,3,2,subject04,reduced,0.19115226337448557,0.17490238506356448,0.03520886662720827
cvae,3,2,subject10,original,0.2542087542087542,0.48890976511856604,0.09282405726285992
cvae,3,2,subject10,reduced,0.23076131687242799,0.3343909619908976,0.07386958029809414
cvae,3,2,subject12,original,0.25101010101010096,0.6554608185172716,0.1207582298398185
cvae,3,2,subject12,reduced,0.24722222222222223,0.5966925111101333,0.12974878434114087
cvae,3,2,subject15,original,0.19931335830212235,0.30196607007509985,0.05491513683755067
