fold,feature_a,feature_b,pooled_rho,median_within_rho
2,initiation_time_s,max_lateral_deviation,-0.08811576455448225,0.009950022107742776
2,initiation_time_s,n_submovements,-0.07979610571120543,-0.018850928028562485
2,initiation_time_s,end_x,0.06601170452790552,0.09108539899962191
2,initiation_time_s,end_y,-0.10975378605967717,0.01789970529319904
2,movement_time_s,peak_speed_tracker_units_s,-0.7910511072482763,-0.6650935941729854
2,movement_time_s,time_to_peak_speed,0.0404258685617046,0.005089132050176996
2,movement_time_s,path_length,0.3815918207196975,0.33320473621448676
2,movement_time_s,straight_line_dist,0.24779198693266102,0.2755705861329255
2,movement_time_s,curvature_index,0.39892740819410294,0.22259634970949893
2,movement_time_s,max_lateral_deviation,0.28469607635160515,0.12804749327501597
2,movement_time_s,n_submovements,0.207942713201676,0.1683913636491422
2,movement_time_s,end_x,-0.12580799942336782,-0.20559021724206403
2,movement_time_s,end_y,0.2861658757619447,0.2970678288584509
2,peak_speed_tracker_units_s,time_to_peak_speed,0.08106783580506709,0.19588248422078522
2,peak_speed_tracker_units_s,path_length,-0.11467911104346898,0.05524656110785312
2,peak_speed_tracker_units_s,straight_line_dist,-0.03943340834019052,0.06682716544749323
2,peak_speed_tracker_units_s,curvature_index,-0.17653992501571192,0.02929514285420332
2,peak_speed_tracker_units_s,max_lateral_deviation,-0.15847367105345117,0.04329713556378549
2,peak_speed_tracker_units_s,n_submovements,-0.13951798817877276,-0.09997308852030094
2,peak_speed_tracker_units_s,end_x,0.18885840161031847,0.1600663454367298
2,peak_speed_tracker_units_s,end_y,-0.07050365000410018,0.07459618081404408
2,time_to_peak_speed,path_length,0.05807994366667591,0.06831814696455492
2,time_to_peak_speed,straight_line_dist,0.08524602425647645,0.08959656618408268
2,time_to_peak_speed,curvature_index,-0.06169566299322967,-0.05227952913075051
2,time_to_peak_speed,max_lateral_deviation,-0.05633407571219395,-0.026139801067665648
2,time_to_peak_speed,n_submovements,-0.11812533856963367,-0.09276120552561791
2,time_to_peak_speed,end_x,-0.1405856369382258,-0.018535091974996743
2,time_to_peak_speed,end_y,0.10038372418948581,0.08221827319619605
2,path_length,straight_line_dist,0.9326895096988911,0.952928297755884
2,path_length,curvature_index,0.4082687846392372,0.26596827225382197
2,path_length,max_lateral_deviation,0.40422558694898664,0.29997427904153423
2,path_length,n_submovements,0.07746582987725188,0.1005361937189449
2,path_length,end_x,0.12295397250352703,0.06909777227854444
2,path_length,end_y,0.9343833291625743,0.9562123700054734
2,straight_line_dist,curvature_index,0.17158356362906851,0.0446156430748554
2,straight_line_dist,max_lateral_deviation,0.20664445252964253,0.15504655599533015
2,straight_line_dist,n_submovements,0.011712079580374297,-0.02301510425953023
2,straight_line_dist,end_x,0.1293276700889132,0.050321583767594054
2,straight_line_dist,end_y,0.995798069831248,0.9964869332329002
2,curvature_index,max_lateral_deviation,0.9040756563035488,0.8708264915161467
2,curvature_index,n_submovements,0.1473681768437877,0.09300620883854606
2,curvature_index,end_x,0.07392558578850296,0.08378256784076996
