latent_dim,target,arm,pooled_r2,mae
8,n_submovements_mean,cvae_probe,-0.266919663156491,0.06613287621141291
8,n_submovements_mean,development_constant,-0.23439231723011722,0.06645986803327505
8,n_submovements_mean,direct_context,0.8830840832761294,0.02162917331482167
8,n_submovements_sd,cvae_probe,-0.2569991435514642,0.13371156462333003
8,n_submovements_sd,development_constant,-0.282181899150554,0.13441114364911508
8,n_submovements_sd,direct_context,0.49718905993137713,0.07928217167560739
8,path_length_mean,cvae_probe,-0.1302196343618487,0.32983119976299613
8,path_length_mean,development_constant,-0.25916971379885845,0.36905959437751085
8,path_length_mean,direct_context,0.42588662239596564,0.16235443379203604
8,path_length_sd,cvae_probe,-0.11393867241227033,0.6891981333561322
8,path_length_sd,development_constant,-0.09305006053037967,0.672800730643301
8,path_length_sd,direct_context,0.03083011909391009,0.43754868935823765
8,peak_speed_tracker_units_s_mean,cvae_probe,0.3203079141817339,8.763032772648044
8,peak_speed_tracker_units_s_mean,development_constant,-0.031971228408443464,11.875679048106917
8,peak_speed_tracker_units_s_mean,direct_context,0.9760682559025359,1.7343994046161288
8,peak_speed_tracker_units_s_sd,cvae_probe,0.006947767675542578,2.4411702581548855
8,peak_speed_tracker_units_s_sd,development_constant,-0.08942194549115734,2.646218813161273
8,peak_speed_tracker_units_s_sd,direct_context,0.46667877502045707,1.7073778429041593
