latent_dim,comparator,metric,n_participants,cvae_mean,comparator_mean,cvae_median,comparator_median,comparator_minus_cvae_mean,comparator_minus_cvae_median,cvae_better_participants,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_difference_decimals,wilcoxon_method,scipy_version,wilcoxon_p_fdr_bh,significant_fdr_0_05
3,conditional_ae,trajectory_mse,28,0.17698055415872574,0.16966130228738585,0.091866923304537,0.09501980986418118,-0.0073192518713399235,-0.000768745148731792,14,157.0,0.3052256628870964,12,auto; two-sided; pratt,1.16.3,0.38846902549266815,False
3,unconditional_vae,ks_n_submovements,28,0.04970399402395741,0.051973435392235985,0.0194444444444444,0.02361111111111107,0.002269441368278579,0.00029069767441862026,15,134.5,0.18194541139947396,12,auto; two-sided; pratt,1.16.3,0.25472357595926354,False
3,unconditional_vae,energy_distance,28,0.7454307783136663,0.7475664183202902,0.5851803569642049,0.5883227053556097,0.002135640006623997,-5.915022178754059e-06,14,202.0,0.9910601079463959,12,auto; two-sided; pratt,1.16.3,0.9910601079463959,False
3,unconditional_vae,mmd_rbf,28,0.13093505803964905,0.13029801153992226,0.10896040151202205,0.11280437323352277,-0.0006370464997267506,-9.988835267737972e-05,13,199.0,0.9374814853072166,12,auto; two-sided; pratt,1.16.3,0.9545266032218933,False
3,spline_pca,trajectory_mse,28,0.17698055415872574,0.09725526191949685,0.091866923304537,0.060347164656517405,-0.0797252922392289,-0.04582591161643263,6,27.0,9.395182132720947e-06,12,auto; two-sided; pratt,1.16.3,3.2883137464523315e-05,True
3,spline_pca,movement_time_mae_ms,28,43.4457698803564,51.15955444262749,39.52415067215945,42.399025944077934,7.713784562271091,4.074454326784281,24,35.0,3.17990779876709e-05,12,auto; two-sided; pratt,1.16.3,9.893046485053169e-05,True
3,spline_pca,initiation_time_mae_ms,28,37.83163642461849,56.15501238496099,35.25636541530294,51.09937959671209,18.323375960342503,16.120226496233876,27,1.0,1.4901161193847656e-08,12,auto; two-sided; pratt,1.16.3,1.1920928955078125e-07,True
3,spline_pca,mean_ks,28,0.27779451273687794,0.3251255882887887,0.25972222222222213,0.3171028466483012,0.04733107555191076,0.04579124579124577,26,10.0,3.203749656677246e-07,12,auto; two-sided; pratt,1.16.3,1.9934442308213975e-06,True
3,spline_pca,ks_n_submovements,28,0.04970399402395741,0.05348229474993255,0.0194444444444444,0.0227272727272727,0.0037783007259751416,-0.002777777777777798,12,194.0,0.8463800411049541,12,auto; two-sided; pratt,1.16.3,0.8942883453184421,False
3,spline_pca,energy_distance,28,0.7454307783136663,0.9774327846489692,0.5851803569642049,0.7486296656744029,0.232002006335303,0.17559796195855754,24,37.0,4.2110681533813477e-05,12,auto; two-sided; pratt,1.16.3,0.00011790990829467774,True
3,spline_pca,mmd_rbf,28,0.13093505803964905,0.1814667335738065,0.10896040151202205,0.14379811770117626,0.05053167553415746,0.05085045928664425,24,26.0,7.964670658111572e-06,12,auto; two-sided; pratt,1.16.3,2.973477045694987e-05,True
3,condition_ridge,trajectory_mse,28,0.17698055415872574,1.2337952342492362,0.091866923304537,1.0873181032972985,1.0568146800905105,0.9478217174669766,28,0.0,7.450580596923828e-09,12,auto; two-sided; pratt,1.16.3,8.344650268554687e-08,True
3,condition_ridge,movement_time_mae_ms,28,43.4457698803564,72.72383048287865,39.52415067215945,64.84751309927438,29.278060602522242,24.51407784967067,28,0.0,7.450580596923828e-09,12,auto; two-sided; pratt,1.16.3,8.344650268554687e-08,True
3,condition_ridge,initiation_time_mae_ms,28,37.83163642461849,98.48968474630634,35.25636541530294,93.14906461944445,60.65804832168788,56.88600676731575,28,0.0,7.450580596923828e-09,12,auto; two-sided; pratt,1.16.3,8.344650268554687e-08,True
3,condition_ridge,mean_ks,28,0.27779451273687794,0.27726443496584474,0.25972222222222213,0.2783063190039934,-0.0005300777710331786,0.003173116937161949,15,181.5,0.6244159356002699,12,auto; two-sided; pratt,1.16.3,0.6920620636576462,False
3,condition_ridge,ks_n_submovements,28,0.04970399402395741,0.06094080845844624,0.0194444444444444,0.0458333333333333,0.011236814434488842,0.009259259259259248,16,135.5,0.12412951802026724,12,auto; two-sided; pratt,1.16.3,0.1803789658424182,False
3,condition_ridge,energy_distance,28,0.7454307783136663,0.8187217963389594,0.5851803569642049,0.6782939570600652,0.07329101802529304,0.03975295990213673,16,177.0,0.5670346617698669,12,auto; two-sided; pratt,1.16.3,0.6756157672151606,False
3,condition_ridge,mmd_rbf,28,0.13093505803964905,0.12585372616609777,0.10896040151202205,0.11297970197993332,-0.00508133187355128,-0.0009410026562681126,14,180.0,0.6136380508542061,12,auto; two-sided; pratt,1.16.3,0.6920620636576462,False
8,conditional_ae,trajectory_mse,28,0.032481218415279414,0.025967813006904344,0.021750945198611066,0.01779003887664935,-0.006513405408375072,-0.005279543854231497,1,3.0,3.725290298461914e-08,12,auto; two-sided; pratt,1.16.3,2.60770320892334e-07,True
8,conditional_ae,movement_time_mae_ms,28,44.16257585361092,42.66696765556143,35.88315290166028,37.34580455555556,-1.4956081980494855,1.057371666666663,17,157.0,0.3052256628870964,12,auto; two-sided; pratt,1.16.3,0.38846902549266815,False
8,conditional_ae,initiation_time_mae_ms,28,34.83709506602474,39.87227959146922,30.202935400415022,32.308788520554145,5.0351845254444845,2.2119233035783363,24,54.0,0.0003418475389480591,12,auto; two-sided; pratt,1.16.3,0.0007976442575454712,True
8,conditional_ae,mean_ks,28,0.21940400159869472,0.2586862157259097,0.20918596073090445,0.2464646464646464,0.039282214127214964,0.03754208754208754,22,53.0,0.0003059804439544678,12,auto; two-sided; pratt,1.16.3,0.0007788593118840998,True
8,conditional_ae,ks_n_submovements,28,0.05020848522612302,0.05944369446133225,0.024116161616161584,0.033333333333333284,0.009235209235209227,0.0027777777777778,14,142.5,0.1897807574785736,12,auto; two-sided; pratt,1.16.3,0.2592127419219542,False
8,conditional_ae,energy_distance,28,0.4304511589728176,0.620224224203243,0.3023478517676344,0.5627235883674659,0.18977306523042523,0.1597313311543925,22,57.0,0.0004729032516479492,12,auto; two-sided; pratt,1.16.3,0.0010593032836914062,True
8,conditional_ae,mmd_rbf,28,0.06749342391175364,0.11113481142118395,0.057234423045244495,0.09351543289745957,0.043641387509430286,0.0394783526602883,23,48.0,0.0001721307635307312,12,auto; two-sided; pratt,1.16.3,0.0004590153694152832,True
8,unconditional_vae,trajectory_mse,28,0.032481218415279414,0.033486992496304886,0.021750945198611066,0.021681231482075965,0.0010057740810254698,-0.00020168079793589713,13,198.0,0.9196710959076881,12,auto; two-sided; pratt,1.16.3,0.9537329883487137,False
8,unconditional_vae,movement_time_mae_ms,28,44.16257585361092,42.20518171259947,35.88315290166028,35.4191928528097,-1.95739414101146,0.03288300000000177,14,164.0,0.38639477640390396,12,auto; two-sided; pratt,1.16.3,0.4703936408395353,False
8,unconditional_vae,initiation_time_mae_ms,28,34.83709506602474,35.98264219997669,30.202935400415022,30.997822058741775,1.1455471339519525,0.2762722275322478,16,153.0,0.26417163759469986,12,auto; two-sided; pratt,1.16.3,0.3522288501262665,False
8,unconditional_vae,mean_ks,28,0.21940400159869472,0.2151211598795452,0.20918596073090445,0.20833333333333326,-0.0042828417191495246,-0.001978114478114454,13,130.5,0.0987313843820622,12,auto; two-sided; pratt,1.16.3,0.1494312844701482,False
8,unconditional_vae,ks_n_submovements,28,0.05020848522612302,0.0505812605988984,0.024116161616161584,0.02314814814814812,0.0003727753727753739,0.0004629629629629836,14,190.5,0.8284577962369739,12,auto; two-sided; pratt,1.16.3,0.8921853190244335,False
8,unconditional_vae,energy_distance,28,0.4304511589728176,0.4110144331973187,0.3023478517676344,0.2867553029213241,-0.019436725775498858,-0.021440049405271444,9,98.0,0.01563260704278946,12,auto; two-sided; pratt,1.16.3,0.028239548206329346,True
8,unconditional_vae,mmd_rbf,28,0.06749342391175364,0.06388130250594579,0.057234423045244495,0.05138897382095793,-0.0036121214058078667,-0.0036591110107834154,10,110.0,0.033681392669677734,12,auto; two-sided; pratt,1.16.3,0.0571563027121804,False
8,spline_pca,trajectory_mse,28,0.032481218415279414,0.022772415541801733,0.021750945198611066,0.013121476841745701,-0.009708802873477683,-0.010414473488385118,4,54.0,0.0003418475389480591,12,auto; two-sided; pratt,1.16.3,0.0007976442575454712,True
8,spline_pca,movement_time_mae_ms,28,44.16257585361092,50.20757453148879,35.88315290166028,41.80659384123005,6.044998677877865,4.227643857746731,23,60.0,0.0006467849016189575,12,auto; two-sided; pratt,1.16.3,0.0013930751727177547,True
8,spline_pca,initiation_time_mae_ms,28,34.83709506602474,55.5835691503279,30.202935400415022,56.924013279789506,20.746474084303163,21.26707934031306,27,1.0,1.4901161193847656e-08,12,auto; two-sided; pratt,1.16.3,1.1920928955078125e-07,True
8,spline_pca,mean_ks,28,0.21940400159869472,0.25479443629207854,0.20918596073090445,0.23550275482093658,0.035390434693383856,0.033712121212121235,23,36.0,3.663450479507446e-05,12,auto; two-sided; pratt,1.16.3,0.00010797538255390368,True
8,spline_pca,ks_n_submovements,28,0.05020848522612302,0.1199776049952428,0.024116161616161584,0.0986111111111111,0.06976911976911979,0.07222222222222224,24,55.5,0.00078224308898511,12,auto; two-sided; pratt,1.16.3,0.0016224301104876355,True
8,spline_pca,energy_distance,28,0.4304511589728176,0.7347145035712234,0.3023478517676344,0.6065775631484955,0.30426334459840587,0.27521686840594406,25,19.0,2.2873282432556152e-06,12,auto; two-sided; pratt,1.16.3,1.1644580147483133e-05,True
8,spline_pca,mmd_rbf,28,0.06749342391175364,0.11529063380077316,0.057234423045244495,0.0973932049935259,0.0477972098890195,0.04536606552151111,25,22.0,3.993511199951172e-06,12,auto; two-sided; pratt,1.16.3,1.7202817476712742e-05,True
8,condition_ridge,trajectory_mse,28,0.032481218415279414,1.2337952342492362,0.021750945198611066,1.0873181032972985,1.2013140158339568,1.0644518817044184,28,0.0,7.450580596923828e-09,12,auto; two-sided; pratt,1.16.3,8.344650268554687e-08,True
8,condition_ridge,movement_time_mae_ms,28,44.16257585361092,72.72383048287865,35.88315290166028,64.84751309927438,28.561254629267733,28.039489885696046,26,23.0,4.76837158203125e-06,12,auto; two-sided; pratt,1.16.3,1.9073486328125e-05,True
8,condition_ridge,initiation_time_mae_ms,28,34.83709506602474,98.48968474630634,30.202935400415022,93.14906461944445,63.652589680281615,61.48648562150888,28,0.0,7.450580596923828e-09,12,auto; two-sided; pratt,1.16.3,8.344650268554687e-08,True
8,condition_ridge,mean_ks,28,0.21940400159869472,0.27726443496584474,0.20918596073090445,0.2783063190039934,0.057860433367150015,0.048711925456111596,24,18.0,1.8849968910217285e-06,12,auto; two-sided; pratt,1.16.3,1.055598258972168e-05,True
8,condition_ridge,ks_n_submovements,28,0.05020848522612302,0.06094080845844624,0.024116161616161584,0.0458333333333333,0.010732323232323229,0.007870370370370357,18,107.5,0.03891974565717024,12,auto; two-sided; pratt,1.16.3,0.06410311049416274,False
8,condition_ridge,energy_distance,28,0.4304511589728176,0.8187217963389594,0.3023478517676344,0.6782939570600652,0.38827063736614165,0.2801063303383263,26,21.0,3.330409526824951e-06,12,auto; two-sided; pratt,1.16.3,1.5541911125183105e-05,True
8,condition_ridge,mmd_rbf,28,0.06749342391175364,0.12585372616609777,0.057234423045244495,0.11297970197993332,0.05836030225434412,0.046242589511779425,24,32.0,2.0518898963928223e-05,12,auto; two-sided; pratt,1.16.3,6.759166717529297e-05,True
