outer_fold,seed,subject,ks_mj_fit_error,ks_mj_first_duration_s,ks_mj_first_amplitude,ks_mj_secondary_amplitude_fraction,ks_mj_mean_overlap_pct,count_total_variation,count_jsd,count_total_variation_bic,count_jsd_bic
1,42,subject18,0.32222222222222224,0.5666666666666667,0.28888888888888886,0.13333333333333333,0.12222222222222222,0.12222222222222222,0.0370673872862009,0.3666666666666667,0.12388108598127137
1,42,subject23,0.32222222222222224,0.5111111111111111,0.5111111111111111,0.5333333333333333,0.3888888888888889,0.3888888888888889,0.1179143049783983,0.2666666666666667,0.07719943794053859
1,42,subject25,0.2,0.4,0.3333333333333333,0.3333333333333333,0.25555555555555554,0.15555555555555559,0.08048961227158419,0.11111111111111113,0.017271797921433647
1,42,subject26,0.18888888888888888,0.12222222222222222,0.2777777777777778,0.3111111111111111,0.18888888888888888,0.18888888888888886,0.06126236966733938,0.022222222222222233,0.005866763133856019
1,42,subject41,0.43846153846153846,0.7461538461538462,0.6153846153846154,0.7692307692307693,0.46923076923076923,0.36923076923076925,0.18408831558718722,0.3153846153846154,0.07356538981368882
1,42,subject43,0.35555555555555557,0.35555555555555557,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1888888888888889,0.045303846087984156,0.14444444444444443,0.02412209885392293
1,43,subject08,0.35555555555555557,0.43333333333333335,0.25555555555555554,0.43333333333333335,0.5777777777777777,0.43333333333333335,0.21168635667670893,0.15555555555555556,0.04359536228992084
1,43,subject18,0.26666666666666666,0.6777777777777778,0.5333333333333333,0.14444444444444443,0.12222222222222222,0.12222222222222222,0.0370673872862009,0.5666666666666667,0.36638416253165895
1,43,subject23,0.3888888888888889,0.37777777777777777,0.5444444444444444,0.5888888888888889,0.4888888888888889,0.4888888888888889,0.1870312868622461,0.2444444444444444,0.0475300979928528
1,43,subject25,0.15555555555555556,0.4888888888888889,0.5666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555557,0.2610095570045239,0.21111111111111114,0.11456225987805464
1,43,subject26,0.28888888888888886,0.2222222222222222,0.28888888888888886,0.28888888888888886,0.28888888888888886,0.3222222222222222,0.08884408885986461,0.08888888888888888,0.01614531516096132
1,43,subject41,0.38461538461538464,0.8461538461538461,0.6923076923076923,0.7692307692307693,0.6692307692307692,0.6692307692307692,0.3873646541875208,0.6153846153846154,0.4098733378580534
1,43,subject43,0.26666666666666666,0.4111111111111111,0.4,0.1,0.06666666666666667,0.022222222222222233,0.005866763133856019,0.4444444444444445,0.17789251470515471
1,44,subject08,0.16666666666666666,0.37777777777777777,0.4111111111111111,0.45555555555555555,0.5222222222222223,0.43333333333333335,0.3356627324167778,0.044444444444444425,0.022586570521593418
1,44,subject18,0.24444444444444444,0.7444444444444445,0.3111111111111111,0.2222222222222222,0.16666666666666666,0.05555555555555559,0.028985129675498485,0.4666666666666667,0.1999788746524021
1,44,subject23,0.18888888888888888,0.4666666666666667,0.5333333333333333,0.5222222222222223,0.3888888888888889,0.3888888888888889,0.1179143049783983,0.16666666666666669,0.028482530549235392
1,44,subject25,0.2222222222222222,0.4111111111111111,0.23333333333333334,0.25555555555555554,0.25555555555555554,0.25555555555555554,0.06652436063382805,0.11111111111111113,0.017271797921433647
1,44,subject26,0.3,0.3,0.2777777777777778,0.28888888888888886,0.2,0.18888888888888886,0.06126236966733938,0.18888888888888888,0.045303846087984156
1,44,subject41,0.38461538461538464,0.7461538461538462,0.5923076923076923,0.6692307692307692,0.2923076923076923,0.2692307692307692,0.15253060136461577,0.5153846153846153,0.2256348435792465
1,44,subject43,0.3888888888888889,0.43333333333333335,0.2777777777777778,0.18888888888888888,0.18888888888888888,0.1888888888888889,0.045303846087984156,0.24444444444444446,0.05183681229934958
2,42,subject01,0.25555555555555554,0.6333333333333333,0.18888888888888888,0.15555555555555556,0.2222222222222222,0.07777777777777778,0.01602424285746156,0.12222222222222223,0.023207332356284218
2,42,subject04,0.45555555555555555,0.26666666666666666,0.16666666666666666,0.17777777777777778,0.14444444444444443,0.07777777777777779,0.01970630236439756,0.08888888888888889,0.007519247106693506
2,42,subject10,0.2777777777777778,0.28888888888888886,0.16666666666666666,0.15555555555555556,0.13333333333333333,0.21111111111111114,0.07418081188863397,0.16666666666666663,0.02025857512412305
2,42,subject12,0.4888888888888889,0.6333333333333333,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.21111111111111114,0.07582388256280741,0.4111111111111111,0.1342597233656738
2,42,subject15,0.36067415730337077,0.6202247191011236,0.30337078651685395,0.21460674157303372,0.4550561797752809,0.02247191011235955,0.011351615508801347,0.05955056179775278,0.0028964193383020044
2,42,subject21,0.3,0.45555555555555555,0.32222222222222224,0.32222222222222224,0.3333333333333333,0.3111111111111111,0.09465437012885365,0.07777777777777775,0.04002426716840066
2,42,subject36,0.26666666666666666,0.2777777777777778,0.32222222222222224,0.32222222222222224,0.3111111111111111,0.15555555555555556,0.035541129768739306,0.022222222222222254,0.0003747651812649654
2,43,subject01,0.3,0.3111111111111111,0.5,0.5333333333333333,0.32222222222222224,0.28888888888888886,0.11501191225132434,0.02222222222222224,0.001102243030375876
2,43,subject04,0.32222222222222224,0.34444444444444444,0.26666666666666666,0.3111111111111111,0.14444444444444443,0.22222222222222224,0.06434042305851363,0.011111111111111141,0.0001363482360434668
2,43,subject10,0.34444444444444444,0.6222222222222222,0.43333333333333335,0.32222222222222224,0.2222222222222222,0.22222222222222224,0.05791236198693547,0.2444444444444444,0.07211146981153914
2,43,subject12,0.36666666666666664,0.5555555555555556,0.35555555555555557,0.08888888888888889,0.07777777777777778,0.011111111111111092,0.0002604565799825991,0.11111111111111116,0.02486726849536449
2,43,subject15,0.2258426966292135,0.47191011235955055,0.553932584269663,0.5056179775280899,0.40561797752808987,0.4056179775280899,0.153231813151793,0.10000000000000002,0.0524177273408351
2,43,subject21,0.25555555555555554,0.4666666666666667,0.2222222222222222,0.16666666666666666,0.23333333333333334,0.14444444444444446,0.03657318463860896,0.07777777777777775,0.04002426716840066
2,43,subject36,0.34444444444444444,0.2,0.35555555555555557,0.4111111111111111,0.3,0.2555555555555556,0.06670317258690135,0.07777777777777775,0.004877325287024499
2,44,subject01,0.3111111111111111,0.34444444444444444,0.4,0.4111111111111111,0.2777777777777778,0.28888888888888886,0.11501191225132434,0.12222222222222223,0.023207332356284218
2,44,subject04,0.28888888888888886,0.4777777777777778,0.4222222222222222,0.3888888888888889,0.2222222222222222,0.25555555555555554,0.0636146548786527,0.08888888888888889,0.007519247106693506
2,44,subject10,0.35555555555555557,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.36666666666666664,0.08888888888888893,0.0312817058102094,0.34444444444444444,0.1102590795375513
2,44,subject12,0.45555555555555555,0.25555555555555554,0.4222222222222222,0.3111111111111111,0.3111111111111111,0.3111111111111111,0.10050306620747872,0.3111111111111111,0.082899123047859
2,44,subject15,0.30337078651685395,0.5078651685393258,0.5101123595505618,0.40561797752808987,0.20561797752808988,0.2056179775280899,0.03965870636572634,0.1404494382022472,0.014568767433238358
2,44,subject21,0.23333333333333334,0.35555555555555557,0.6333333333333333,0.6777777777777778,0.6555555555555556,0.6444444444444445,0.34215224792178545,0.07777777777777775,0.04002426716840066
2,44,subject36,0.3,0.3111111111111111,0.2777777777777778,0.2,0.15555555555555556,0.15555555555555556,0.035541129768739306,0.12222222222222223,0.010968622463809415
3,42,subject02,0.2,0.3333333333333333,0.5333333333333333,0.4666666666666667,0.6,0.49999999999999994,0.22808776730776945,0.09999999999999998,0.024864968529589988
3,42,subject11,0.6888888888888889,0.6777777777777778,0.34444444444444444,0.2111111111111111,0.1111111111111111,0.11111111111111113,0.02726574413152627,0.4,0.23645279766002797
3,42,subject22,0.18888888888888888,0.2222222222222222,0.37777777777777777,0.25555555555555554,0.45555555555555555,0.25555555555555554,0.05574980823308787,0.1333333333333333,0.02363615111136309
3,42,subject30,0.24444444444444444,0.23333333333333334,0.2222222222222222,0.15555555555555556,0.15555555555555556,0.12222222222222222,0.029985040278939376,0.18888888888888888,0.10156267960136857
3,42,subject33,0.18181818181818182,0.275,0.2681818181818182,0.21136363636363636,0.2,0.21136363636363634,0.05353519936556242,0.20454545454545459,0.0682784910358558
3,42,subject37,0.28888888888888886,0.3333333333333333,0.4777777777777778,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.18528050871925764,0.06666666666666665,0.034162632807821454
3,42,subject40,0.24444444444444444,0.4777777777777778,0.4,0.13333333333333333,0.13333333333333333,0.1333333333333333,0.0701045817449687,0.4,0.14679310243605215
3,43,subject02,0.2,0.16666666666666666,0.36666666666666664,0.13333333333333333,0.23333333333333334,0.03333333333333333,0.002745754680754324,0.09999999999999998,0.024864968529589988
