dim,model_a,model_b,metric,fold,mean_b_minus_a
3,conditional_ae,unconditional_vae,movement_time_mae_ms,1,-2.4316117611826167
3,conditional_ae,unconditional_vae,movement_time_mae_ms,2,-0.6340667234671358
3,conditional_ae,unconditional_vae,movement_time_mae_ms,3,-1.3666524237906579
3,conditional_ae,unconditional_vae,initiation_time_mae_ms,0,-2.627780353945387
3,conditional_ae,unconditional_vae,initiation_time_mae_ms,1,-0.9759668689435576
3,conditional_ae,unconditional_vae,initiation_time_mae_ms,2,-1.414959344069404
3,conditional_ae,unconditional_vae,initiation_time_mae_ms,3,5.674493514326926
3,conditional_ae,unconditional_vae,mean_ks,0,-0.01762447285703102
3,conditional_ae,unconditional_vae,mean_ks,1,-0.005849705849705848
3,conditional_ae,unconditional_vae,mean_ks,2,0.00021361285406228312
3,conditional_ae,unconditional_vae,mean_ks,3,0.011296952206043107
3,conditional_ae,unconditional_vae,ks_n_submovements,0,0.0003476067429555761
3,conditional_ae,unconditional_vae,ks_n_submovements,1,0.004761904761904773
3,conditional_ae,unconditional_vae,ks_n_submovements,2,-0.0009259259259259178
3,conditional_ae,unconditional_vae,ks_n_submovements,3,0.012481962481962487
3,conditional_ae,unconditional_vae,energy_distance,0,-0.16825957377445336
3,conditional_ae,unconditional_vae,energy_distance,1,-0.0645677499667703
3,conditional_ae,unconditional_vae,energy_distance,2,-0.008667460118012584
3,conditional_ae,unconditional_vae,energy_distance,3,0.02580578500171891
3,conditional_ae,unconditional_vae,mmd_rbf,0,-0.034916461998036157
3,conditional_ae,unconditional_vae,mmd_rbf,1,-0.009880494718112419
3,conditional_ae,unconditional_vae,mmd_rbf,2,-0.0030129879017330254
3,conditional_ae,unconditional_vae,mmd_rbf,3,0.00336185509165838
3,conditional_ae,spline_pca,trajectory_mse,0,-0.01588658084860911
3,conditional_ae,spline_pca,trajectory_mse,1,-0.16415865538553429
3,conditional_ae,spline_pca,trajectory_mse,2,-0.020566478677008095
3,conditional_ae,spline_pca,trajectory_mse,3,-0.08901244656040451
3,conditional_ae,spline_pca,movement_time_mae_ms,0,9.873512117343074
3,conditional_ae,spline_pca,movement_time_mae_ms,1,9.098056890970996
3,conditional_ae,spline_pca,movement_time_mae_ms,2,9.438292447034328
3,conditional_ae,spline_pca,movement_time_mae_ms,3,-0.11891650982172156
3,conditional_ae,spline_pca,initiation_time_mae_ms,0,26.762363417734893
3,conditional_ae,spline_pca,initiation_time_mae_ms,1,15.198177406610439
3,conditional_ae,spline_pca,initiation_time_mae_ms,2,18.416158095109232
3,conditional_ae,spline_pca,initiation_time_mae_ms,3,13.232084936711969
3,conditional_ae,spline_pca,mean_ks,0,0.02836868127565802
3,conditional_ae,spline_pca,mean_ks,1,0.0293993043993044
3,conditional_ae,spline_pca,mean_ks,2,0.058476957915160166
3,conditional_ae,spline_pca,mean_ks,3,0.033944422580786233
3,conditional_ae,spline_pca,ks_n_submovements,0,0.011541774332472004
3,conditional_ae,spline_pca,ks_n_submovements,1,-0.00833333333333334
3,conditional_ae,spline_pca,ks_n_submovements,2,0.011375661375661384
3,conditional_ae,spline_pca,ks_n_submovements,3,0.008116883116883114
3,conditional_ae,spline_pca,energy_distance,0,0.06673670479871721
3,conditional_ae,spline_pca,energy_distance,1,0.32141351928475964
3,conditional_ae,spline_pca,energy_distance,2,0.19900587520407303
3,conditional_ae,spline_pca,energy_distance,3,0.11662036716964883
3,conditional_ae,spline_pca,mmd_rbf,0,0.030785990746215724
3,conditional_ae,spline_pca,mmd_rbf,1,0.05291609457342012
3,conditional_ae,spline_pca,mmd_rbf,2,0.05351201577085358
3,conditional_ae,spline_pca,mmd_rbf,3,0.023012697518824156
3,conditional_ae,condition_ridge,trajectory_mse,0,0.8892053583201788
3,conditional_ae,condition_ridge,trajectory_mse,1,1.1969821792815325
3,conditional_ae,condition_ridge,trajectory_mse,2,1.0681924739637114
3,conditional_ae,condition_ridge,trajectory_mse,3,1.1021557162819788
3,conditional_ae,condition_ridge,movement_time_mae_ms,0,29.88807225220959
3,conditional_ae,condition_ridge,movement_time_mae_ms,1,35.51829867964381
3,conditional_ae,condition_ridge,movement_time_mae_ms,2,32.286351330867696
3,conditional_ae,condition_ridge,movement_time_mae_ms,3,16.855326843810207
3,conditional_ae,condition_ridge,initiation_time_mae_ms,0,78.17585745012731
3,conditional_ae,condition_ridge,initiation_time_mae_ms,1,47.96677727163743
3,conditional_ae,condition_ridge,initiation_time_mae_ms,2,67.02264992109033
3,conditional_ae,condition_ridge,initiation_time_mae_ms,3,49.78218865869292
3,conditional_ae,condition_ridge,mean_ks,0,0.028317505061691114
3,conditional_ae,condition_ridge,mean_ks,1,-0.046933621933621925
3,conditional_ae,condition_ridge,mean_ks,2,-0.006746437083515748
3,conditional_ae,condition_ridge,mean_ks,3,-0.01589269316542042
3,conditional_ae,condition_ridge,ks_n_submovements,0,0.028076165866863522
3,conditional_ae,condition_ridge,ks_n_submovements,1,0.005423280423280411
3,conditional_ae,condition_ridge,ks_n_submovements,2,0.008465608465608452
3,conditional_ae,condition_ridge,ks_n_submovements,3,0.010569985569985575
3,conditional_ae,condition_ridge,energy_distance,0,0.09512486990602369
3,conditional_ae,condition_ridge,energy_distance,1,-0.037455024694925614
3,conditional_ae,condition_ridge,energy_distance,2,0.0371528119581797
3,conditional_ae,condition_ridge,energy_distance,3,-0.02589014395211886
3,conditional_ae,condition_ridge,mmd_rbf,0,0.013290123267256782
3,conditional_ae,condition_ridge,mmd_rbf,1,-0.05074725965068685
3,conditional_ae,condition_ridge,mmd_rbf,2,-0.002338674963701778
3,conditional_ae,condition_ridge,mmd_rbf,3,-0.022429419674389477
3,unconditional_vae,spline_pca,trajectory_mse,0,-0.015341711788395277
3,unconditional_vae,spline_pca,trajectory_mse,1,-0.07958981929876992
3,unconditional_vae,spline_pca,trajectory_mse,2,-0.02097536283693505
3,unconditional_vae,spline_pca,trajectory_mse,3,-0.08826982436439132
3,unconditional_vae,spline_pca,movement_time_mae_ms,0,10.154922678978147
3,unconditional_vae,spline_pca,movement_time_mae_ms,1,11.529668652153614
3,unconditional_vae,spline_pca,movement_time_mae_ms,2,10.072359170501462
3,unconditional_vae,spline_pca,movement_time_mae_ms,3,1.2477359139689363
3,unconditional_vae,spline_pca,initiation_time_mae_ms,0,29.390143771680282
3,unconditional_vae,spline_pca,initiation_time_mae_ms,1,16.174144275553996
3,unconditional_vae,spline_pca,initiation_time_mae_ms,2,19.831117439178634
3,unconditional_vae,spline_pca,initiation_time_mae_ms,3,7.5575914223850456
3,unconditional_vae,spline_pca,mean_ks,0,0.04599315413268904
3,unconditional_vae,spline_pca,mean_ks,1,0.03524901024901025
3,unconditional_vae,spline_pca,mean_ks,2,0.058263345061097885
3,unconditional_vae,spline_pca,mean_ks,3,0.022647470374743125
3,unconditional_vae,spline_pca,ks_n_submovements,0,0.011194167589516428
3,unconditional_vae,spline_pca,ks_n_submovements,1,-0.013095238095238115
3,unconditional_vae,spline_pca,ks_n_submovements,2,0.012301587301587303
3,unconditional_vae,spline_pca,ks_n_submovements,3,-0.004365079365079371
3,unconditional_vae,spline_pca,energy_distance,0,0.23499627857317051
3,unconditional_vae,spline_pca,energy_distance,1,0.3859812692515299
3,unconditional_vae,spline_pca,energy_distance,2,0.20767333532208557
3,unconditional_vae,spline_pca,energy_distance,3,0.09081458216792991
3,unconditional_vae,spline_pca,mmd_rbf,0,0.06570245274425188
3,unconditional_vae,spline_pca,mmd_rbf,1,0.06279658929153255
3,unconditional_vae,spline_pca,mmd_rbf,2,0.0565250036725866
3,unconditional_vae,spline_pca,mmd_rbf,3,0.019650842427165773
3,unconditional_vae,condition_ridge,trajectory_mse,0,0.8897502273803928
3,unconditional_vae,condition_ridge,trajectory_mse,1,1.281551015368297
3,unconditional_vae,condition_ridge,trajectory_mse,2,1.0677835898037844
3,unconditional_vae,condition_ridge,trajectory_mse,3,1.1028983384779922
3,unconditional_vae,condition_ridge,movement_time_mae_ms,0,30.169482813844663
3,unconditional_vae,condition_ridge,movement_time_mae_ms,1,37.94991044082643
3,unconditional_vae,condition_ridge,movement_time_mae_ms,2,32.92041805433483
3,unconditional_vae,condition_ridge,movement_time_mae_ms,3,18.22197926760086
3,unconditional_vae,condition_ridge,initiation_time_mae_ms,0,80.8036378040727
3,unconditional_vae,condition_ridge,initiation_time_mae_ms,1,48.942744140580984
3,unconditional_vae,condition_ridge,initiation_time_mae_ms,2,68.43760926515974
3,unconditional_vae,condition_ridge,initiation_time_mae_ms,3,44.107695144366
3,unconditional_vae,condition_ridge,mean_ks,0,0.045941977918722135
3,unconditional_vae,condition_ridge,mean_ks,1,-0.041083916083916074
3,unconditional_vae,condition_ridge,mean_ks,2,-0.006960049937578031
3,unconditional_vae,condition_ridge,mean_ks,3,-0.02718964537146353
3,unconditional_vae,condition_ridge,ks_n_submovements,0,0.02772855912390795
