run,family,dim,fold,seed,epoch,epochs_run,checkpoint_sha256,max_timing_error,max_mse_error,encoder_swap_change,decoder_swap_change,encoder_condition0_gradient,decoder_condition0_gradient,encoder_condition1_gradient,decoder_condition1_gradient,encoder_condition2_gradient,decoder_condition2_gradient,encoder_condition3_gradient,decoder_condition3_gradient,encoder_condition4_gradient,decoder_condition4_gradient
conditional_ae\fold1\conditional_ae_z8_seed43,conditional_ae,8,1,43,47,72,b9173362d2acd0dd6d37499043eb988a9ff3f9af1975125e28bbdac3011b9689,4.925994878668405e-08,2.0368957409644395e-08,0.13276159763336182,0.19249534606933594,8.808528900146484,63.74578094482422,6.551490783691406,30.393457412719727,2.8811075687408447,27.545408248901367,1.5156197547912598,24.079076766967773,5.996881008148193,31.84990692138672
conditional_ae\fold1\conditional_ae_z8_seed44,conditional_ae,8,1,44,82,107,73e920d326a8c11242195b30b53a99b41d17a4718efea738f5b8ecfc45393d09,4.17449950163018e-08,2.9404449430892043e-08,0.2873344421386719,0.41913557052612305,12.218645095825195,22.11431312561035,7.725179672241211,73.09645080566406,6.8195390701293945,86.4144515991211,3.3248231410980225,17.457788467407227,10.313117980957031,58.40446472167969
conditional_ae\fold2\conditional_ae_z3_seed42,conditional_ae,3,2,42,53,78,c9d00b9965907c5912815fed8111b602f9a2a4a1a4860cbcc5b248e06d3f5ae0,4.0386962885108346e-08,4.5080566479782647e-07,0.5170714855194092,0.6668267846107483,1.7208611965179443,47.12549591064453,2.420128345489502,49.12228012084961,1.6327728033065796,58.399993896484375,1.7948049306869507,17.738922119140625,2.369908094406128,64.30682373046875
conditional_ae\fold2\conditional_ae_z3_seed43,conditional_ae,3,2,43,34,59,ee734f3be04293c6e025f076399cf5147549d56c31b1f9cf6c3998bc4a0f5883,3.358612055137655e-08,2.947998041236133e-07,0.2133130431175232,0.547255277633667,1.5152653455734253,19.998004913330078,1.7727887630462646,16.564361572265625,1.425650715827942,17.8718204498291,1.0806764364242554,24.686838150024414,1.894719123840332,93.49829864501953
conditional_ae\fold2\conditional_ae_z3_seed44,conditional_ae,3,2,44,37,62,c6869424580b2d71139f0d123d05f76a3c76c8278f6786c26f28d24873c6b52f,4.5512390078883413e-08,7.446289096435521e-08,0.34127357602119446,0.5739314556121826,1.1971577405929565,12.15406608581543,1.1926919221878052,15.251363754272461,1.2914655208587646,69.24427795410156,1.090274691581726,31.309497833251953,2.011549472808838,66.90766906738281
conditional_ae\fold2\conditional_ae_z8_seed42,conditional_ae,8,2,42,55,80,bceee5e97dcbd750b126aab5db877d5d9601165be55f275a8615e8c1cbbac28f,4.0260314859708046e-08,2.5387573265867047e-08,0.18971586227416992,0.23157107830047607,3.1274256706237793,17.37557029724121,1.4256051778793335,5.783149719238281,1.119492769241333,24.37397003173828,0.8302263021469116,7.008050441741943,2.2555248737335205,32.76040267944336
conditional_ae\fold2\conditional_ae_z8_seed43,conditional_ae,8,2,43,46,71,78c1cf32a84e9d0740c1e73a865b5eb772ec4bb1c3d5fa99f7747d997ec77174,4.2840576197633595e-08,2.8076171831870056e-08,0.29878926277160645,0.2505713105201721,4.019991874694824,20.244524002075195,1.0917863845825195,7.625375747680664,2.0888805389404297,8.582908630371094,0.42995303869247437,7.597410678863525,3.4224166870117188,22.968908309936523
conditional_ae\fold2\conditional_ae_z8_seed44,conditional_ae,8,2,44,49,74,184cf9ef6aa625c2303a8a67a994ca07068923eafd75ad3c0f722e6e8f1e9f75,4.322357183283998e-08,5.030822758378406e-08,0.19965428113937378,0.26741325855255127,3.4969959259033203,7.790280342102051,2.4024198055267334,9.476123809814453,0.9130709171295166,10.476407051086426,1.1483638286590576,10.171911239624023,2.9677529335021973,20.473737716674805
conditional_ae\fold3\conditional_ae_z3_seed42,conditional_ae,3,3,42,19,44,277966bee4d3eebff1d5022ed45d08a66022ea136289a7f4689b70449843d1f5,5.9494018600503296e-08,2.3358154344066406e-07,0.3232696056365967,0.5856306552886963,8.904535293579102,85.61486053466797,2.3971874713897705,86.53645324707031,10.187823295593262,165.70619201660156,6.921773433685303,39.98786163330078,11.285455703735352,103.99807739257812
conditional_ae\fold3\conditional_ae_z3_seed43,conditional_ae,3,3,43,9,34,223ad88f5096183b956272728b8620dcb55dfd040a8aa078f74baddc29de89dc,2.678756716445463e-08,3.637084962093695e-07,0.2537039518356323,0.2867114543914795,2.171123743057251,53.52024841308594,0.7267976403236389,32.282386779785156,2.5463762283325195,23.097835540771484,1.8331714868545532,22.316587448120117,3.1502561569213867,230.61026000976562
conditional_ae\fold3\conditional_ae_z3_seed44,conditional_ae,3,3,44,20,45,aa22f792dbb294eb009411dc59d749b7e79a2a3be913ca0e417b5c3b98cd5427,2.8057861367614123e-08,5.6884765342601895e-08,0.26541900634765625,0.31369924545288086,3.963761329650879,124.21923828125,3.1112029552459717,128.08242797851562,11.467137336730957,190.52528381347656,17.777103424072266,63.610076904296875,10.551215171813965,282.2291259765625
conditional_ae\fold3\conditional_ae_z8_seed42,conditional_ae,8,3,42,53,78,d2a621cd604f5528ebf4730272ae35149f27f74339c2ecc2c64dae18250e671b,2.956771849582651e-08,3.7521362239445466e-08,0.33050769567489624,0.3071258068084717,22.046947479248047,48.21222686767578,18.436359405517578,59.3812255859375,6.932107448577881,86.86225128173828,2.8113906383514404,68.8781967163086,24.07805061340332,55.23870086669922
conditional_ae\fold3\conditional_ae_z8_seed43,conditional_ae,8,3,43,36,61,787c528563438125c1952922637594b0f30c0f793ee2fa544df53bd2139ede33,1.2646484037759365e-07,4.231262185072637e-08,0.3027353286743164,0.3065601885318756,30.061159133911133,59.763771057128906,13.320259094238281,40.39711380004883,12.72934341430664,37.40480422973633,2.7894833087921143,22.384174346923828,27.47040367126465,73.89241027832031
