family,fold,dim,seed,subject,passed,reference_difference,max_metric_difference,new_energy_distance,new_mmd_rbf,new_ks_initiation_time_s,new_ks_movement_time_s,new_ks_peak_speed_tracker_units_s,new_ks_time_to_peak_speed,new_ks_path_length,new_ks_straight_line_dist,new_ks_curvature_index,new_ks_max_lateral_deviation,new_ks_n_submovements,new_ks_end_x,new_ks_end_y,saved_energy_distance,saved_mmd_rbf,saved_ks_initiation_time_s,saved_ks_movement_time_s,saved_ks_peak_speed_tracker_units_s,saved_ks_time_to_peak_speed,saved_ks_path_length,saved_ks_straight_line_dist,saved_ks_curvature_index,saved_ks_max_lateral_deviation,saved_ks_n_submovements,saved_ks_end_x,saved_ks_end_y
condition_ridge,0,0,42,subject19,True,0.0,5.5279423261112015e-09,1.0439845029375916,0.19490425942447254,0.4861111111111111,0.6388888888888888,0.6444444444444445,0.2861111111111111,0.1611111111111111,0.10555555555555557,0.3972222222222222,0.2777777777777778,0.050000000000000044,0.1777777777777777,0.11944444444444441,1.043984508465534,0.1949042601270311,0.4861111111111111,0.6388888888888888,0.6444444444444445,0.2861111111111111,0.1611111111111111,0.1055555555555555,0.3972222222222222,0.2777777777777778,0.05,0.1777777777777777,0.1194444444444444
condition_ridge,0,0,42,subject24,True,0.0,3.6979193041020153e-09,0.3068239377594759,0.04806466529477271,0.1611111111111111,0.2694444444444445,0.20833333333333337,0.20833333333333326,0.21111111111111114,0.21944444444444444,0.1972222222222222,0.17777777777777776,0.011111111111111072,0.2111111111111111,0.23888888888888893,0.3068239414573952,0.0480646664886039,0.1611111111111111,0.2694444444444444,0.2083333333333333,0.2083333333333333,0.2111111111111111,0.2194444444444444,0.1972222222222222,0.1777777777777777,0.0111111111111111,0.2111111111111111,0.2388888888888889
condition_ridge,0,0,42,subject27,True,0.0,1.5205475878410368e-08,0.9560787994864302,0.20529066576872168,0.33611111111111114,0.4083333333333333,0.46944444444444444,0.6166666666666667,0.2333333333333333,0.21944444444444444,0.2333333333333333,0.25555555555555554,0.06388888888888888,0.28888888888888886,0.2277777777777778,0.956078814691906,0.205290670156213,0.3361111111111111,0.4083333333333333,0.4694444444444444,0.6166666666666667,0.2333333333333333,0.2194444444444444,0.2333333333333333,0.2555555555555555,0.0638888888888888,0.2888888888888888,0.2277777777777777
condition_ridge,0,0,42,subject34,True,0.0,1.5248700468983856e-08,0.40741353717225914,0.06739150886435963,0.11944444444444441,0.28333333333333327,0.35555555555555557,0.2416666666666667,0.29166666666666663,0.3083333333333333,0.3111111111111111,0.2611111111111111,0.030555555555555558,0.2,0.2972222222222222,0.4074135524209596,0.0673915115433892,0.1194444444444444,0.2833333333333333,0.3555555555555555,0.2416666666666666,0.2916666666666667,0.3083333333333333,0.3111111111111111,0.2611111111111111,0.0305555555555555,0.2,0.2972222222222222
condition_ridge,0,0,42,subject35,True,0.0,8.781318783235292e-09,0.7109040863599843,0.1305746597028865,0.21259689922480618,0.5670542635658915,0.5633720930232557,0.27848837209302324,0.22732558139534884,0.2839147286821705,0.20406976744186056,0.24031007751937983,0.07170542635658916,0.33759689922480624,0.2839147286821705,0.710904095141303,0.1305746589621857,0.2125968992248062,0.5670542635658915,0.5633720930232559,0.2784883720930232,0.2273255813953488,0.2839147286821705,0.2040697674418604,0.2403100775193798,0.0717054263565891,0.3375968992248062,0.2839147286821705
condition_ridge,0,0,43,subject05,True,0.0,5.9074860558894216e-09,0.9482302247459158,0.18475453550535081,0.3944444444444445,0.4305555555555555,0.3166666666666667,0.24722222222222223,0.3111111111111111,0.2611111111111111,0.33611111111111114,0.4305555555555555,0.047222222222222276,0.6083333333333334,0.2638888888888889,0.9482302306534018,0.1847545356835257,0.3944444444444444,0.4305555555555556,0.3166666666666666,0.2472222222222222,0.3111111111111111,0.2611111111111111,0.3361111111111111,0.4305555555555556,0.0472222222222222,0.6083333333333333,0.2638888888888889
condition_ridge,0,0,43,subject13,True,0.0,9.114585131086983e-08,0.7919015727720486,0.12982028348770458,0.3083333333333334,0.4222222222222222,0.4083333333333334,0.3416666666666667,0.38888888888888884,0.34444444444444444,0.4916666666666667,0.4555555555555556,0.0805555555555556,0.16666666666666674,0.3638888888888889,0.7919014816261973,0.129820273265633,0.3083333333333333,0.4222222222222222,0.4083333333333333,0.3416666666666667,0.3888888888888889,0.3444444444444444,0.4916666666666666,0.4555555555555555,0.0805555555555555,0.1666666666666666,0.3638888888888889
condition_ridge,0,0,43,subject19,True,0.0,5.483299769792893e-08,0.6976623757844074,0.12534109444094066,0.4722222222222222,0.5388888888888889,0.47777777777777775,0.2333333333333334,0.06944444444444443,0.11111111111111116,0.3194444444444445,0.25555555555555554,0.01666666666666672,0.19166666666666665,0.10833333333333334,0.6976624306174051,0.1253411066018699,0.4722222222222222,0.5388888888888889,0.4777777777777778,0.2333333333333333,0.0694444444444444,0.1111111111111111,0.3194444444444444,0.2555555555555555,0.0166666666666666,0.1916666666666666,0.1083333333333333
condition_ridge,0,0,43,subject24,True,0.0,3.380948282449836e-08,0.28637532056088943,0.043049811361675516,0.20277777777777772,0.26111111111111107,0.22777777777777775,0.29444444444444445,0.1888888888888889,0.26666666666666666,0.21666666666666667,0.23055555555555554,0.011111111111111072,0.15833333333333333,0.25833333333333336,0.2863752867514066,0.0430498059528599,0.2027777777777777,0.2611111111111111,0.2277777777777777,0.2944444444444444,0.1888888888888888,0.2666666666666666,0.2166666666666666,0.2305555555555555,0.0111111111111111,0.1583333333333333,0.2583333333333333
condition_ridge,0,0,43,subject27,True,0.0,4.337920689323482e-09,0.8426290276993211,0.1780898045356759,0.425,0.3138888888888889,0.43888888888888883,0.5388888888888889,0.1638888888888889,0.1638888888888889,0.15833333333333335,0.15555555555555556,0.03888888888888897,0.3222222222222222,0.15833333333333335,0.8426290233614004,0.1780898020126782,0.425,0.3138888888888889,0.4388888888888889,0.5388888888888889,0.1638888888888889,0.1638888888888889,0.1583333333333333,0.1555555555555555,0.0388888888888888,0.3222222222222222,0.1583333333333333
