fold,subject,arm,mean_ks,energy_distance,mmd_rbf
2,subject15,wrong,0.23534502326637155,0.5522989015967034,0.10331327045739895
2,subject21,own,0.28055555555555556,0.5187610875465474,0.09451535112140001
2,subject21,population,0.30799663299663294,0.963788702368736,0.16832636232089496
2,subject21,wrong,0.3447811447811448,1.1802358419732484,0.20545524761625758
2,subject36,own,0.130050505050505,0.08444959611744995,0.005762885546178267
2,subject36,population,0.2816498316498316,0.5977608511733831,0.11789132003838775
2,subject36,wrong,0.2864197530864197,0.7599388409908281,0.14831538818540368
3,subject02,own,0.29141414141414135,0.8378651348133285,0.14777952244805237
3,subject02,population,0.2856060606060606,0.5993911571453315,0.07302105191733273
3,subject02,wrong,0.254503367003367,0.6121790483326636,0.06366716433825058
3,subject11,own,0.21245791245791237,0.5836443081821824,0.0964051940693303
3,subject11,population,0.2228114478114478,0.8681318740939408,0.14053640037824597
3,subject11,wrong,0.2927469135802469,1.306360156655005,0.2045401080495444
3,subject22,own,0.2064814814814815,0.28737255849256,0.053072295446715934
3,subject22,population,0.25639730639730635,0.5804223269562375,0.1115121060311552
3,subject22,wrong,0.32763748597081926,1.0324730687578982,0.20197214509704486
3,subject30,own,0.1687710437710437,0.18446758476842431,0.027926361310242436
3,subject30,population,0.26346801346801346,0.5689883402931161,0.10178871498358737
3,subject30,wrong,0.274537037037037,0.7890366702836742,0.14863028935022915
3,subject33,own,0.16648301193755735,0.1891525479355508,0.02569688809166733
3,subject33,population,0.2336776859504132,0.40675702289392107,0.06267244766913656
3,subject33,wrong,0.22834404652586468,0.5976102741172227,0.09762299988327872
3,subject37,own,0.21018518518518517,0.38216419555652953,0.06254537592327804
3,subject37,population,0.34242424242424235,1.4226505757157206,0.23901969267460263
3,subject37,wrong,0.3178451178451178,1.287653150348361,0.22107159101483045
3,subject40,own,0.20294612794612787,0.28613804735008824,0.04345180182646117
3,subject40,population,0.2534511784511784,0.40722819960317685,0.06521546408700726
3,subject40,wrong,0.284736251402918,0.866974272180283,0.14922614081367827
