dim,model_a,model_b,metric,n,mean_a,mean_b,mean_b_minus_a,median_b_minus_a,a_better_n,b_better_n,p,q_bh_140,p_holm_140
8,cvae,condition_ridge,trajectory_mse,28,0.032481218415279414,1.233795234249236,1.201314015833957,1.0644518817044184,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
8,cvae,condition_ridge,movement_time_mae_ms,28,44.16257585361092,72.72383048287865,28.56125462926773,28.039489885696035,26,2,4.76837158203125e-06,1.6689300537109375e-05,0.00048160552978515625
8,cvae,condition_ridge,initiation_time_mae_ms,28,34.83709506602474,98.48968474630635,63.652589680281615,61.48648562150888,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
8,cvae,condition_ridge,mean_ks,28,0.21940400159869472,0.27726443496584474,0.057860433367150015,0.048711925456111596,24,4,1.8849968910217285e-06,7.761751904207117e-06,0.00020169466733932495
8,cvae,condition_ridge,ks_n_submovements,28,0.05020848522612303,0.06094080845844624,0.010732323232323229,0.007870370370370357,18,9,0.03891974565717024,0.05858886443014875,1.0
8,cvae,condition_ridge,energy_distance,28,0.43045115897281766,0.8187217963389594,0.38827063736614154,0.2801063303383263,26,2,3.330409526824951e-06,1.2601549560959274e-05,0.0003463625907897949
8,cvae,condition_ridge,mmd_rbf,28,0.06749342391175364,0.12585372616609777,0.05836030225434411,0.046242589511779425,24,4,2.0518898963928223e-05,5.862542561122349e-05,0.0018877387046813965
8,conditional_ae,unconditional_vae,trajectory_mse,28,0.025967813006904344,0.033486992496304886,0.007519179489400542,0.004379942380111132,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
8,conditional_ae,unconditional_vae,movement_time_mae_ms,28,42.666967655561436,42.20518171259946,-0.46178594296197695,-0.8727420125884304,7,21,0.10925160348415375,0.14995318125276005,1.0
8,conditional_ae,unconditional_vae,initiation_time_mae_ms,28,39.87227959146922,35.98264219997669,-3.8896373914925326,-2.0792695064919897,8,20,0.004778154194355011,0.00836176984012127,0.29146740585565567
8,conditional_ae,unconditional_vae,mean_ks,28,0.25868621572590966,0.21512115987954522,-0.04356505584636449,-0.03977272727272725,6,22,7.204711437225342e-05,0.000168109933535258,0.00590786337852478
8,conditional_ae,unconditional_vae,ks_n_submovements,28,0.05944369446133224,0.0505812605988984,-0.008862433862433853,-0.012962962962962952,10,17,0.06661995150157801,0.09517135928796859,1.0
8,conditional_ae,unconditional_vae,energy_distance,28,0.6202242242032429,0.41101443319731873,-0.20920979100592405,-0.1918347805629757,5,23,0.00011970102787017822,0.0002747236705217205,0.009576082229614258
8,conditional_ae,unconditional_vae,mmd_rbf,28,0.11113481142118391,0.06388130250594579,-0.047253508915238156,-0.04661633695359056,5,23,3.17990779876709e-05,8.399756449573445e-05,0.00283011794090271
8,conditional_ae,spline_pca,trajectory_mse,28,0.025967813006904344,0.022772415541801733,-0.003195397465102607,-0.004453738318951834,7,21,0.0017047896981239319,0.0030211463004727905,0.10569696128368378
8,conditional_ae,spline_pca,movement_time_mae_ms,28,42.666967655561436,50.20757453148879,7.540606875927351,5.759178934556976,23,5,0.0001721307635307312,0.00038251280784606934,0.013598330318927765
8,conditional_ae,spline_pca,initiation_time_mae_ms,28,39.87227959146922,55.583569150327904,15.711289558858681,19.21829250501127,26,2,1.2949109077453613e-05,3.77682348092397e-05,0.001204267144203186
8,conditional_ae,spline_pca,mean_ks,28,0.25868621572590966,0.2547944362920786,-0.0038917794338311287,0.005163817663817655,15,13,0.9274221545542304,0.9408630553448715,1.0
8,conditional_ae,spline_pca,ks_n_submovements,28,0.05944369446133224,0.11997760499524278,0.06053391053391056,0.06527777777777781,23,5,0.0003202407444257171,0.0006792985487818241,0.024018055831928783
8,conditional_ae,spline_pca,energy_distance,28,0.6202242242032429,0.7347145035712234,0.1144902793679806,0.08864203994093522,19,9,0.05953092873096466,0.08592092806530982,1.0
8,conditional_ae,spline_pca,mmd_rbf,28,0.11113481142118391,0.11529063380077316,0.0041558223795892255,0.0048508187034599776,15,13,0.7450922578573227,0.7902493643941301,1.0
8,conditional_ae,condition_ridge,trajectory_mse,28,0.025967813006904344,1.233795234249236,1.207827421242332,1.0674248845403347,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
8,conditional_ae,condition_ridge,movement_time_mae_ms,28,42.666967655561436,72.72383048287865,30.056862827317214,25.130085484035753,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
8,conditional_ae,condition_ridge,initiation_time_mae_ms,28,39.87227959146922,98.48968474630635,58.61740515483714,57.953460555788425,27,1,5.21540641784668e-08,2.60770320892334e-07,5.997717380523682e-06
8,conditional_ae,condition_ridge,mean_ks,28,0.25868621572590966,0.27726443496584474,0.01857821923993504,0.016708754208754173,16,12,0.1935620754957199,0.24861184008624576,1.0
8,conditional_ae,condition_ridge,ks_n_submovements,28,0.05944369446133224,0.06094080845844624,0.0014971139971140003,0.007996632996632985,20,7,0.23612480928531,0.29781507477426483,1.0
8,conditional_ae,condition_ridge,energy_distance,28,0.6202242242032429,0.8187217963389594,0.19849757213571642,0.11978529849978596,17,11,0.06981273740530014,0.09773783236742019,1.0
8,conditional_ae,condition_ridge,mmd_rbf,28,0.11113481142118391,0.12585372616609777,0.014718914744913828,0.008975923500603715,16,12,0.49323366582393646,0.5660058460274681,1.0
8,unconditional_vae,spline_pca,trajectory_mse,28,0.033486992496304886,0.022772415541801733,-0.010714576954503148,-0.008165923841210032,3,25,0.00021760910749435425,0.0004760199226438999,0.016755901277065277
8,unconditional_vae,spline_pca,movement_time_mae_ms,28,42.20518171259946,50.20757453148879,8.002392818889327,5.924367424651232,25,3,5.529820919036865e-05,0.0001334784359767519,0.004589751362800598
8,unconditional_vae,spline_pca,initiation_time_mae_ms,28,35.98264219997669,55.583569150327904,19.60092695035121,21.785145633190513,27,1,3.993511199951172e-06,1.4335681230593951e-05,0.0004113316535949707
8,unconditional_vae,spline_pca,mean_ks,28,0.21512115987954522,0.2547944362920786,0.03967327641253336,0.03716329966329966,24,4,6.735324859619141e-06,2.2451082865397137e-05,0.0006735324859619141
8,unconditional_vae,spline_pca,ks_n_submovements,28,0.0505812605988984,0.11997760499524278,0.06939634439634441,0.07268518518518517,23,5,0.0006619323596516146,0.001287090699322584,0.045673332815961414
8,unconditional_vae,spline_pca,energy_distance,28,0.41101443319731873,0.7347145035712234,0.3237000703739047,0.28922099322137895,26,2,6.556510925292969e-07,2.9610049340032763e-06,7.212162017822266e-05
8,unconditional_vae,spline_pca,mmd_rbf,28,0.06388130250594579,0.11529063380077316,0.05140933129482739,0.045638564932259824,26,2,1.259148120880127e-06,5.34184051282478e-06,0.0001359879970550537
8,unconditional_vae,condition_ridge,trajectory_mse,28,0.033486992496304886,1.233795234249236,1.2003082417529314,1.0633369876858232,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
8,unconditional_vae,condition_ridge,movement_time_mae_ms,28,42.20518171259946,72.72383048287865,30.518648770279192,27.77864378174602,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
8,unconditional_vae,condition_ridge,initiation_time_mae_ms,28,35.98264219997669,98.48968474630635,62.50704254632967,63.29557098196766,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
8,unconditional_vae,condition_ridge,mean_ks,28,0.21512115987954522,0.27726443496584474,0.06214327508629953,0.05420875420875425,25,3,8.195638656616211e-07,3.5855919122695923e-06,8.93324613571167e-05
8,unconditional_vae,condition_ridge,ks_n_submovements,28,0.0505812605988984,0.06094080845844624,0.01035954785954785,0.008333333333333321,17,11,0.11071624484336189,0.15048809978709382,1.0
8,unconditional_vae,condition_ridge,energy_distance,28,0.41101443319731873,0.8187217963389594,0.40770736314164047,0.2991482231027634,26,2,5.21540641784668e-07,2.4338563283284507e-06,5.7891011238098145e-05
8,unconditional_vae,condition_ridge,mmd_rbf,28,0.06388130250594579,0.12585372616609777,0.06197242366015198,0.050165273263620455,26,2,6.735324859619141e-06,2.2451082865397137e-05,0.0006735324859619141
8,spline_pca,condition_ridge,trajectory_mse,28,0.022772415541801733,1.233795234249236,1.2110228187074346,1.0718619152606523,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
8,spline_pca,condition_ridge,movement_time_mae_ms,28,50.20757453148879,72.72383048287865,22.51625595138987,20.93709092720645,27,1,5.21540641784668e-08,2.60770320892334e-07,5.997717380523682e-06
8,spline_pca,condition_ridge,initiation_time_mae_ms,28,55.583569150327904,98.48968474630635,42.906115595978456,41.67990366041721,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
8,spline_pca,condition_ridge,mean_ks,28,0.2547944362920786,0.27726443496584474,0.02246999867376617,0.020117845117845076,20,8,0.0379299521446228,0.057719492393991226,1.0
8,spline_pca,condition_ridge,ks_n_submovements,28,0.11997760499524278,0.06094080845844624,-0.05903679653679656,-0.055555555555555594,5,23,0.001431073814353375,0.002601952389733409,0.091588724118616
8,spline_pca,condition_ridge,energy_distance,28,0.7347145035712234,0.8187217963389594,0.08400729276773584,0.02708495238130096,14,14,0.3740789592266083,0.44009289320777445,1.0
8,spline_pca,condition_ridge,mmd_rbf,28,0.11529063380077316,0.12585372616609777,0.010563092365324605,0.01165092704786604,16,12,0.2450956031680107,0.3063695039600134,1.0
