check,passed,detail
conditional_ae\fold0\conditional_ae_z3_seed43/independent trajectory MSE,True,max_abs_error=3.7158203181064664e-08; atol=2e-06; rtol=2e-05
conditional_ae\fold0\conditional_ae_z3_seed43/independent decoder trajectory,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z3_seed43/independent decoder timing,True,max_abs_error=0.0; atol=2e-06; rtol=1e-05
conditional_ae\fold0\conditional_ae_z3_seed43/timing withheld,True,max_abs_error=0.0; atol=0; rtol=0
conditional_ae\fold0\conditional_ae_z3_seed43/variational sampling behaviour,True,
conditional_ae\fold0\conditional_ae_z3_seed43/condition gradients,True,"{'encoder_condition0_gradient': 1.7546489238739014, 'decoder_condition0_gradient': 10.14560604095459, 'encoder_condition1_gradient': 2.6775543689727783, 'decoder_condition1_gradient': 8.736917495727539, 'encoder_condition2_gradient': 2.404313802719116, 'decoder_condition2_gradient': 13.36813735961914, 'encoder_condition3_gradient': 2.7422399520874023, 'decoder_condition3_gradient': 18.814367294311523, 'encoder_condition4_gradient': 1.5049482583999634, 'decoder_condition4_gradient': 31.029767990112305}"
conditional_ae\fold0\conditional_ae_z3_seed43/condition swap behaviour,True,
conditional_ae\fold0\conditional_ae_z3_seed44/effective flags,True,
conditional_ae\fold0\conditional_ae_z3_seed44/train_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z3_seed44/train_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z3_seed44/timing_mean train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z3_seed44/timing_std train-only,True,max_abs_error=0.0; atol=1e-07; rtol=1e-06
conditional_ae\fold0\conditional_ae_z3_seed44/validation objective,True,max_abs_error=0.0; atol=1e-10; rtol=1e-10
conditional_ae\fold0\conditional_ae_z3_seed44/selected epoch,True,
