run,subject,n_generated,n_query,max_metric_difference,movement_floor_count,initiation_floor_count,crop_cap_count,energy_distance,mmd_rbf,ks_initiation_time_s,ks_movement_time_s,ks_peak_speed_tracker_units_s,ks_time_to_peak_speed,ks_path_length,ks_straight_line_dist,ks_curvature_index,ks_max_lateral_deviation,ks_n_submovements,ks_end_x,ks_end_y
cvae\fold0\cvae_z2_seed44,subject19,120,90,1.1102230246251565e-16,0,0,0,0.4870468772687424,0.0937851030054433,0.36944444444444446,0.6055555555555555,0.3027777777777778,0.42500000000000004,0.09444444444444444,0.1611111111111111,0.2833333333333333,0.21111111111111114,0.0,0.11111111111111105,0.15833333333333333
cvae\fold0\cvae_z2_seed44,subject24,120,90,1.1102230246251565e-16,0,3,0,0.302376589669636,0.05825927024722688,0.29722222222222217,0.2222222222222222,0.2861111111111111,0.3861111111111111,0.2333333333333334,0.26111111111111107,0.22222222222222224,0.15,0.05555555555555558,0.2111111111111111,0.2583333333333334
cvae\fold0\cvae_z2_seed44,subject27,120,90,2.220446049250313e-16,0,2,0,1.3146587586457699,0.2812347597594965,0.6499999999999999,0.26111111111111107,0.3138888888888889,0.5722222222222222,0.10833333333333339,0.21666666666666667,0.5166666666666667,0.43333333333333335,0.011111111111111072,0.38055555555555554,0.24722222222222223
cvae\fold0\cvae_z2_seed44,subject34,120,90,1.1102230246251565e-16,0,1,0,0.7321169871432742,0.14740592299406363,0.2361111111111111,0.2416666666666667,0.3,0.4194444444444445,0.42499999999999993,0.46388888888888885,0.47777777777777775,0.4111111111111111,0.0444444444444444,0.16666666666666669,0.4833333333333333
cvae\fold0\cvae_z2_seed44,subject35,120,86,1.0755285551056204e-16,0,2,0,0.584973081424975,0.1104299245261926,0.23895348837209307,0.3236434108527132,0.33003875968992247,0.39515503875968994,0.2420542635658915,0.30155038759689917,0.29360465116279066,0.26531007751937985,0.011627906976744207,0.2959302325581395,0.30988372093023253
cvae\fold0\cvae_z3_seed42,subject05,120,90,1.1102230246251565e-16,0,2,0,0.6615730546463392,0.1336336307770014,0.25277777777777777,0.25,0.1694444444444444,0.2138888888888889,0.33055555555555555,0.25,0.4277777777777778,0.525,0.002777777777777768,0.47500000000000003,0.2694444444444445
cvae\fold0\cvae_z3_seed42,subject13,120,90,1.1102230246251565e-16,0,0,0,0.1725336912401283,0.02386051286421309,0.16666666666666669,0.16388888888888886,0.11666666666666665,0.09166666666666667,0.2055555555555555,0.19166666666666668,0.3472222222222222,0.313888888888889,0.011111111111111072,0.0888888888888889,0.19999999999999998
cvae\fold0\cvae_z3_seed42,subject19,120,90,1.1102230246251565e-16,0,1,0,0.26536386330910533,0.04787268121102917,0.28611111111111115,0.41388888888888886,0.1888888888888889,0.2777777777777778,0.08611111111111108,0.12222222222222223,0.33888888888888885,0.3222222222222222,0.0,0.14722222222222225,0.11111111111111116
cvae\fold0\cvae_z3_seed42,subject24,120,90,1.1102230246251565e-16,0,2,0,0.21419828610643554,0.030141853103938354,0.16944444444444445,0.23611111111111113,0.20277777777777772,0.30277777777777776,0.2055555555555555,0.2222222222222222,0.14444444444444443,0.13333333333333336,0.03888888888888886,0.2111111111111111,0.2138888888888889
cvae\fold0\cvae_z3_seed42,subject27,120,90,1.1102230246251565e-16,0,0,0,0.7220221736808639,0.1472609433606753,0.5472222222222222,0.2583333333333333,0.32500000000000007,0.40555555555555556,0.1111111111111111,0.07222222222222219,0.4,0.3361111111111111,0.002777777777777768,0.33611111111111114,0.09166666666666667
cvae\fold0\cvae_z3_seed42,subject34,120,90,8.326672684688674e-17,0,3,0,0.5362467587620001,0.102034822143663,0.125,0.15000000000000002,0.16388888888888892,0.48611111111111116,0.3416666666666667,0.37222222222222223,0.4083333333333334,0.25,0.0444444444444444,0.16666666666666669,0.35555555555555557
cvae\fold0\cvae_z3_seed42,subject35,120,86,1.1188966420050406e-16,0,12,0,0.42568590803514317,0.07452092019185141,0.22248062015503878,0.4170542635658915,0.3337209302325581,0.20562015503875974,0.18197674418604648,0.17558139534883718,0.28527131782945736,0.20872093023255817,0.005038759689922512,0.3093023255813953,0.18546511627906978
cvae\fold0\cvae_z3_seed43,subject05,120,90,1.1102230246251565e-16,0,0,0,0.7092162158759092,0.14118482059455284,0.2361111111111111,0.29166666666666674,0.1777777777777778,0.22222222222222224,0.3388888888888889,0.3083333333333333,0.41111111111111115,0.4861111111111111,0.011111111111111072,0.5472222222222222,0.3055555555555555
cvae\fold0\cvae_z3_seed43,subject13,120,90,1.1102230246251565e-16,0,3,0,0.20184861856239555,0.030498460422448526,0.13333333333333336,0.18888888888888888,0.18888888888888888,0.09166666666666666,0.2138888888888889,0.21111111111111108,0.2861111111111111,0.27222222222222225,0.011111111111111072,0.13888888888888895,0.20555555555555557
cvae\fold0\cvae_z3_seed43,subject19,120,90,1.3877787807814457e-16,0,1,0,0.2763996147518242,0.05257798481458176,0.2277777777777778,0.35277777777777775,0.24166666666666667,0.2250000000000001,0.06944444444444442,0.07777777777777783,0.2527777777777778,0.30000000000000004,0.0,0.19444444444444442,0.07499999999999996
cvae\fold0\cvae_z3_seed43,subject24,120,90,9.020562075079397e-17,0,6,0,0.16722408772651054,0.02196330857096429,0.20833333333333331,0.23888888888888887,0.20000000000000007,0.2611111111111111,0.20277777777777778,0.20277777777777772,0.11388888888888887,0.17777777777777776,0.05555555555555558,0.15833333333333333,0.20833333333333337
cvae\fold0\cvae_z3_seed43,subject27,120,90,1.1102230246251565e-16,0,1,0,0.8963554270289675,0.18418034678633965,0.6138888888888888,0.26388888888888884,0.4055555555555555,0.4472222222222222,0.0805555555555556,0.09999999999999998,0.32499999999999996,0.275,0.002777777777777768,0.40555555555555556,0.1694444444444445
cvae\fold0\cvae_z3_seed43,subject34,120,90,1.1102230246251565e-16,0,1,0,0.6355519242159495,0.11793110885728653,0.1166666666666667,0.15000000000000002,0.23888888888888887,0.5222222222222221,0.33333333333333337,0.37777777777777777,0.4361111111111111,0.3277777777777778,0.0444444444444444,0.20277777777777778,0.37777777777777777
cvae\fold0\cvae_z3_seed43,subject35,120,86,1.3877787807814457e-16,0,8,0,0.4221003360531048,0.07279427991741094,0.21414728682170547,0.3670542635658915,0.3550387596899225,0.1887596899224806,0.16104651162790695,0.15910852713178303,0.21860465116279068,0.2003875968992248,0.003294573643410903,0.33430232558139533,0.14864341085271318
cvae\fold0\cvae_z3_seed44,subject05,120,90,8.326672684688674e-17,0,2,0,0.7051327021082758,0.14142034148264637,0.27777777777777773,0.25,0.16666666666666663,0.2722222222222222,0.29999999999999993,0.3111111111111111,0.39444444444444443,0.45555555555555555,0.011111111111111072,0.5666666666666667,0.3111111111111111
cvae\fold0\cvae_z3_seed44,subject13,120,90,2.740863092043355e-16,0,2,0,0.15557625888232485,0.021130924106787075,0.14166666666666666,0.13611111111111107,0.15833333333333333,0.06666666666666665,0.21944444444444444,0.18888888888888888,0.35,0.3055555555555556,0.011111111111111072,0.10555555555555562,0.1972222222222222
cvae\fold0\cvae_z3_seed44,subject19,120,90,1.3877787807814457e-16,0,0,0,0.26703949987098685,0.054337280522061215,0.17222222222222222,0.3472222222222222,0.2277777777777778,0.2694444444444445,0.11388888888888882,0.09166666666666667,0.42222222222222217,0.42500000000000004,0.0,0.16666666666666674,0.08333333333333334
cvae\fold0\cvae_z3_seed44,subject24,120,90,1.942890293094024e-16,0,5,0,0.1643765857967492,0.023103145604281505,0.2361111111111111,0.2138888888888889,0.15833333333333344,0.275,0.1472222222222222,0.14444444444444438,0.1222222222222222,0.12222222222222223,0.05555555555555558,0.2555555555555556,0.13055555555555554
cvae\fold0\cvae_z3_seed44,subject27,120,90,1.1102230246251565e-16,0,0,0,0.8590584927064868,0.17606764726203028,0.6083333333333334,0.20833333333333337,0.3388888888888888,0.3861111111111111,0.0888888888888888,0.19722222222222224,0.3666666666666667,0.3027777777777778,0.011111111111111072,0.38055555555555554,0.2194444444444445
cvae\fold0\cvae_z3_seed44,subject34,120,90,1.1102230246251565e-16,0,0,0,0.6012716444185573,0.10936140645685033,0.12777777777777782,0.2222222222222222,0.25555555555555554,0.4972222222222222,0.2722222222222222,0.35,0.4194444444444445,0.3055555555555556,0.0444444444444444,0.15555555555555556,0.3416666666666667
cvae\fold0\cvae_z3_seed44,subject35,120,86,1.0755285551056204e-16,0,5,0,0.37101138286862323,0.06121706587592646,0.21395348837209305,0.3670542635658915,0.3550387596899225,0.18507751937984496,0.0817829457364341,0.08313953488372094,0.23527131782945734,0.21705426356589147,0.011627906976744207,0.30910852713178294,0.08914728682170547
cvae\fold0\cvae_z4_seed42,subject05,120,90,6.808789643208968e-17,0,1,0,0.5488025405516019,0.11011044012284732,0.32222222222222224,0.43333333333333335,0.22500000000000003,0.23888888888888893,0.32222222222222224,0.29166666666666663,0.36944444444444446,0.4361111111111111,0.002777777777777768,0.24999999999999994,0.29444444444444445
cvae\fold0\cvae_z4_seed42,subject13,120,90,1.1102230246251565e-16,0,4,0,0.28034806799149026,0.045483191131774126,0.18611111111111112,0.18611111111111112,0.18055555555555558,0.08611111111111114,0.28888888888888886,0.2972222222222222,0.20833333333333337,0.2138888888888889,0.002777777777777768,0.18055555555555552,0.2722222222222222
cvae\fold0\cvae_z4_seed42,subject19,120,90,1.1102230246251565e-16,0,0,0,0.21644543288288443,0.0406393333996079,0.2194444444444445,0.37500000000000006,0.1972222222222222,0.2583333333333334,0.11944444444444446,0.08611111111111114,0.20833333333333337,0.19444444444444442,0.008333333333333304,0.18333333333333335,0.06944444444444442
cvae\fold0\cvae_z4_seed42,subject24,120,90,1.1102230246251565e-16,0,5,0,0.13660795462178,0.015183520908549797,0.14166666666666666,0.2694444444444445,0.20000000000000007,0.26944444444444443,0.15833333333333333,0.16666666666666669,0.23333333333333336,0.1611111111111111,0.047222222222222276,0.08333333333333334,0.18333333333333335
cvae\fold0\cvae_z4_seed42,subject27,120,90,1.1102230246251565e-16,0,0,0,0.6428293859847467,0.12934625078719397,0.5805555555555555,0.2583333333333333,0.3638888888888889,0.5222222222222223,0.15833333333333333,0.16388888888888886,0.24722222222222223,0.17222222222222225,0.011111111111111072,0.2611111111111111,0.2194444444444445
cvae\fold0\cvae_z4_seed42,subject34,120,90,1.1102230246251565e-16,0,0,0,0.6135978089817651,0.11297563776975894,0.08611111111111108,0.24166666666666664,0.28888888888888886,0.46111111111111114,0.3777777777777778,0.4083333333333333,0.3972222222222222,0.2833333333333333,0.036111111111111094,0.22499999999999998,0.41388888888888886
cvae\fold0\cvae_z4_seed42,subject35,120,86,1.1102230246251565e-16,0,11,0,0.39947181658392594,0.06659806606921326,0.2374031007751939,0.4069767441860465,0.4040697674418605,0.1552325581395349,0.1689922480620155,0.16724806201550388,0.24244186046511626,0.23372093023255813,0.008333333333333304,0.15930232558139534,0.17558139534883718
cvae\fold0\cvae_z4_seed43,subject05,120,90,5.551115123125783e-17,0,1,0,0.6455765787991612,0.13246542699899733,0.34444444444444444,0.42500000000000004,0.15,0.3861111111111111,0.3416666666666666,0.3277777777777778,0.39444444444444443,0.4888888888888889,0.011111111111111072,0.2972222222222222,0.3527777777777778
cvae\fold0\cvae_z4_seed43,subject13,120,90,8.326672684688674e-17,0,0,0,0.16381319817294715,0.02213421638416535,0.10555555555555557,0.17222222222222217,0.13888888888888884,0.11111111111111116,0.21666666666666667,0.1611111111111111,0.31666666666666665,0.2777777777777778,0.002777777777777768,0.11111111111111105,0.18888888888888888
