model_family,latent_dim,fold,seed,subject,n_context,n_query,n_generated,feature_reproduction_error,geometry,energy,mmd2,mmd2_biased_diagnostic,mean_path_rmse,all_pairs_mse_diagnostic,recorded_dispersion,generated_dispersion,dispersion_ratio
unconditional_vae,3,2,42,subject36,90,90,120,8.326672684688674e-17,raw_rms,0.0568134142077847,0.0352339965095391,0.0434867932722766,0.1571899351531657,1.0752451832304126,0.4932706942456473,0.5674755617777416,1.150434372845877
unconditional_vae,3,2,42,subject36,90,90,120,8.326672684688674e-17,axis_balanced,0.0704006699768481,0.0389967628191862,0.0473623144013413,0.191728189141879,0.9737760992658444,0.4567171125964465,0.4894526952021971,1.0716758398205142
unconditional_vae,3,3,42,subject02,30,30,120,8.326672684688674e-17,raw_rms,0.125566386030437,0.0745538428066165,0.103999136785483,0.227932091152388,2.207892000981885,1.2155304917108936,0.989169231076559,0.8137757446826984
unconditional_vae,3,3,42,subject02,30,30,120,8.326672684688674e-17,axis_balanced,0.1367564498773132,0.0812135549149062,0.1084925526476708,0.2274821004491644,1.710235891079879,1.078646874154883,0.6209705613835916,0.5756940257858908
unconditional_vae,3,3,42,subject11,90,90,120,9.714451465470121e-17,raw_rms,0.0446529197856169,0.0250847803403846,0.0376276233598538,0.1484854396120735,2.2537997506753777,1.298472046196939,0.9556711723175942,0.7359967240855394
unconditional_vae,3,3,42,subject11,90,90,120,9.714451465470121e-17,axis_balanced,0.0430895940585338,0.0209744045983714,0.0331578505113848,0.1433848513077783,1.9449553790837009,1.0934115999325662,0.8502187374893535,0.777583425621046
unconditional_vae,3,3,42,subject22,90,90,120,8.326672684688674e-17,raw_rms,0.0408605940732367,0.016464193983815,0.0284524487343846,0.129576812734048,1.7635265156653293,0.7235093348904216,1.0399321240199868,1.4373444458425526
unconditional_vae,3,3,42,subject22,90,90,120,8.326672684688674e-17,axis_balanced,0.0742557391117417,0.0384471218819216,0.0484806289251981,0.2234729854425252,1.237920500855895,0.5001818099572521,0.6991826131182244,1.3978569376163037
unconditional_vae,3,3,42,subject30,90,90,120,8.326672684688674e-17,raw_rms,0.1071496236232405,0.0698890513806175,0.0801267385069612,0.2551635790040111,1.4508754374122108,0.4721824043262872,0.9265523215411442,1.9622762581827984
unconditional_vae,3,3,42,subject30,90,90,120,8.326672684688674e-17,axis_balanced,0.1045547311896748,0.067145216771753,0.0765879104662263,0.2336324111379029,1.2540415065017902,0.4262848971161398,0.7844460551681206,1.8401919947785552
unconditional_vae,3,3,42,subject33,86,88,120,8.326672684688674e-17,raw_rms,0.0355248787646558,0.0182313877638193,0.0311710386604358,0.0773186153347536,2.2256221937827028,1.215897084888333,1.0261149105331389,0.8439159228902802
unconditional_vae,3,3,42,subject33,86,88,120,8.326672684688674e-17,axis_balanced,0.0352088260207525,0.0147482570304305,0.0272018223038885,0.1104788389131892,1.874614697289533,1.006945525896083,0.8741910860572613,0.8681612496160768
unconditional_vae,3,3,42,subject37,90,90,120,8.326672684688674e-17,raw_rms,0.0646962508058623,0.0350391521752577,0.0477048279452586,0.1676564338755994,2.3534613675355085,1.4116381939998472,0.937209441214788,0.6639161827714684
unconditional_vae,3,3,42,subject37,90,90,120,8.326672684688674e-17,axis_balanced,0.1192825140543836,0.0657141209610627,0.0777141018489846,0.2808715743370945,2.092869151596254,1.3069941790885131,0.7275713836462893,0.5566753052823016
unconditional_vae,3,3,42,subject40,87,90,120,8.326672684688674e-17,raw_rms,0.1334513077632246,0.0648400946611149,0.0764020961940177,0.3478769772165592,2.313002700218975,1.1950279657372869,1.0187237966849243,0.852468583073209
unconditional_vae,3,3,42,subject40,87,90,120,8.326672684688674e-17,axis_balanced,0.0892339252454481,0.0440079291353767,0.0549745497584764,0.2622668060946836,1.8732397483205103,0.999503741096462,0.8229153547242715,0.8233239365582845
unconditional_vae,3,0,43,subject05,90,90,120,8.326672684688674e-17,raw_rms,0.1082670123379672,0.0696397425250021,0.0770212632246964,0.2159095429871062,1.0330781381309015,0.2455483451079607,0.7498902627385047,3.0539414240759752
unconditional_vae,3,0,43,subject05,90,90,120,8.326672684688674e-17,axis_balanced,0.1508138325467323,0.1003918838066268,0.1072260915184761,0.272845179833419,0.8703411136240737,0.2000893401137501,0.6030559625971215,3.013933487182705
unconditional_vae,3,0,43,subject13,90,90,120,7.806255641895632e-17,raw_rms,0.0350000211947731,0.0206987824901496,0.0284755907432991,0.0722071886094031,1.2172280136977245,0.5750148228914392,0.6487949912340442,1.1283100285512715
unconditional_vae,3,0,43,subject13,90,90,120,7.806255641895632e-17,axis_balanced,0.0303860325148221,0.0125009022646469,0.0191590500641969,0.0870480056271472,0.7913457653811462,0.3405845798649649,0.4507241378239948,1.3233838654782846
unconditional_vae,3,0,43,subject19,88,90,120,5.551115123125783e-17,raw_rms,0.0331924718645972,0.0104061090388762,0.0180020144280723,0.1138062809781854,1.031674010644107,0.479171776175523,0.5494532729998921,1.1466728641351045
unconditional_vae,3,0,43,subject19,88,90,120,5.551115123125783e-17,axis_balanced,0.0450724928529902,0.0222384185958706,0.0289518964955082,0.1168215683382,0.747950242381496,0.3048617399402978,0.4364657912049123,1.4316843802386847
unconditional_vae,3,0,43,subject24,88,90,120,9.020562075079396e-17,raw_rms,0.0568471798176555,0.0377694831030172,0.0473653658726126,0.0932157981014002,1.614235210280894,0.6527640463348907,0.9681024330539372,1.4830817329624597
unconditional_vae,3,0,43,subject24,88,90,120,9.020562075079396e-17,axis_balanced,0.0343859018101142,0.017017148649337,0.0265312320540603,0.0825652458187926,1.2733360014101598,0.6008917142698702,0.677953454043197,1.1282456355168131
unconditional_vae,3,0,43,subject27,87,90,120,5.551115123125783e-17,raw_rms,0.143752533676871,0.1019695171536757,0.110985644844482,0.2663730994268846,1.6342564608886898,0.6439936517249081,0.934249075043357,1.4507116219872864
unconditional_vae,3,0,43,subject27,87,90,120,5.551115123125783e-17,axis_balanced,0.1202477346195967,0.0775480967330939,0.0860137177053974,0.2645704867170838,1.1614964253620677,0.4474271354747183,0.6544973042642224,1.462801990249884
unconditional_vae,3,0,43,subject34,90,90,120,8.326672684688674e-17,raw_rms,0.0399520112466337,0.0097103124726731,0.018911036639589,0.1623078848644052,1.5412762579431707,0.8647568818662528,0.6653283392130501,0.7693819536621541
unconditional_vae,3,0,43,subject34,90,90,120,8.326672684688674e-17,axis_balanced,0.0388572798612567,0.0117359353306751,0.0199451075163887,0.1317967677771496,1.0405085352839136,0.543099275726661,0.4901579576044152,0.902519998666154
unconditional_vae,3,0,43,subject35,85,86,120,8.326672684688674e-17,raw_rms,0.0646615791110876,0.0299800082725462,0.0411876085758591,0.2177354827828392,1.8512006946312585,0.8815464293616184,0.9403321660671544,1.066684787944869
unconditional_vae,3,0,43,subject35,85,86,120,8.326672684688674e-17,axis_balanced,0.1043503328123933,0.0530828852981709,0.0631710790309253,0.29822958839133,1.28668611096162,0.5898240134266413,0.6199458442726303,1.051069183621388
unconditional_vae,3,1,43,subject08,89,90,120,4.440892098500626e-16,raw_rms,0.2517419889353607,0.175059002277754,0.1869739549053626,0.4339213806205052,1.5872083570220907,0.5973954376251124,0.8149541666441309,1.3641787588534358
unconditional_vae,3,1,43,subject08,89,90,120,4.440892098500626e-16,axis_balanced,0.4888194244071207,0.2908872948487899,0.3035854513024762,0.6889773505903197,2.6086265773576063,1.4715404849726217,0.6844505068150161,0.4651251622395903
unconditional_vae,3,1,43,subject18,88,90,120,7.806255641895632e-17,raw_rms,0.1016699148997537,0.0661841606715718,0.0779292677548187,0.1932590523487946,2.357070581477408,1.4401307269673116,0.9031182309753296,0.6271085076263557
unconditional_vae,3,1,43,subject18,88,90,120,7.806255641895632e-17,axis_balanced,0.1379847676713113,0.0846233999738166,0.0959715215679316,0.3091830420420589,2.2132573429895768,1.2853000539149289,0.853758904838755,0.6642487116049428
unconditional_vae,3,1,43,subject23,90,90,120,5.551115123125783e-17,raw_rms,0.1457817554329021,0.1084253492710038,0.1177793863979537,0.2912326119814719,1.191912903854596,0.2356683002136246,0.8813916363312211,3.7399668751897135
unconditional_vae,3,1,43,subject23,90,90,120,5.551115123125783e-17,axis_balanced,0.136540578785407,0.1007102282987915,0.1102224183190601,0.2515034716646499,1.3872257427640244,0.3307994204602921,1.0052247480610956,3.03877421146135
unconditional_vae,3,1,43,subject25,88,90,120,8.326672684688674e-17,raw_rms,0.114381514136006,0.0383161353001622,0.0521711159460299,0.3970930303716327,2.5602823974337,1.6061325253211065,0.8211558799571894,0.5112628422695192
unconditional_vae,3,1,43,subject25,88,90,120,8.326672684688674e-17,axis_balanced,0.1193900734214734,0.0553937831583524,0.068794937623708,0.3403085721476236,2.4453064755960137,1.5721578624455026,0.7813180936812059,0.4969717814888258
unconditional_vae,3,1,43,subject26,89,90,120,5.551115123125783e-17,raw_rms,0.0696290867391495,0.0446170005740276,0.0572845064676461,0.2106311000847076,1.8864020090887283,1.1825538414212335,0.6782744818200034,0.5735675265363224
unconditional_vae,3,1,43,subject26,89,90,120,5.551115123125783e-17,axis_balanced,0.1304831419891021,0.0919431838349996,0.1050424719361745,0.2127486143119352,2.558720555298011,1.8621554077772864,0.6776407969119795,0.363901312469311
unconditional_vae,3,1,43,subject41,15,13,120,6.938893903907227e-17,raw_rms,0.2163963226774286,0.0872739210357298,0.1505357088414041,0.3174064527621754,3.6589840289504,2.9751504204848285,0.8187675396939662,0.2752020650977843
unconditional_vae,3,1,43,subject41,15,13,120,6.938893903907227e-17,axis_balanced,0.2551392048838381,0.1048874600878814,0.1667672134922934,0.4037364507056745,3.4986756070655347,2.7458948681214705,0.8077313944324422,0.2941596212622043
unconditional_vae,3,1,43,subject43,90,90,120,5.551115123125783e-17,raw_rms,0.0663772475578059,0.0504725860179787,0.0608106289282354,0.1417872315170137,1.2420971109038486,0.5504616161986677,0.6833426378459566,1.2413992506233724
unconditional_vae,3,1,43,subject43,90,90,120,5.551115123125783e-17,axis_balanced,0.0501510080042113,0.0287373315129273,0.0389293863494969,0.1306517131415143,1.4126035138434632,0.6051540348171935,0.803801891697124,1.3282599891115965
unconditional_vae,3,2,43,subject01,90,90,120,5.551115123125783e-17,raw_rms,0.0420688780080971,0.0137697662466561,0.0237151438902497,0.1835595633326053,1.5870684631641578,0.823065887139866,0.7456675353854232,0.9059633585065708
unconditional_vae,3,2,43,subject01,90,90,120,5.551115123125783e-17,axis_balanced,0.0409389340333008,0.0166042477456169,0.0261104465589419,0.1552391536745087,1.254244397463507,0.5714328371225053,0.6706503723561977,1.1736293905217456
unconditional_vae,3,2,43,subject04,90,90,120,6.938893903907227e-17,raw_rms,0.0586749751888711,0.038728963111994,0.0474299621967579,0.1342558321173015,1.111905883618877,0.3809203994400054,0.7232201390965003,1.8986122564181724
unconditional_vae,3,2,43,subject04,90,90,120,6.938893903907227e-17,axis_balanced,0.0315961614078177,0.0122683605619535,0.0214070716463774,0.1030482666147407,1.075489565267521,0.4720884376380369,0.6030530515583681,1.277415423634555
unconditional_vae,3,2,43,subject10,90,90,120,6.938893903907227e-17,raw_rms,0.0598479465655921,0.0381419704908935,0.0474049611480119,0.140329437541967,1.334611204499886,0.5924001386842762,0.7352278371810992,1.2411000423025629
unconditional_vae,3,2,43,subject10,90,90,120,6.938893903907227e-17,axis_balanced,0.0494019111399726,0.0281465384193428,0.0371136962513931,0.1197133291955203,1.1335746228041683,0.4675875652174602,0.6623709517219547,1.4165709291561397
unconditional_vae,3,2,43,subject12,90,90,120,9.714451465470121e-17,raw_rms,0.0647574671595753,0.0356542084499111,0.0443347518136962,0.1877615361621242,1.17840788355039,0.5407962786171991,0.6134783778266433,1.13439829762751
unconditional_vae,3,2,43,subject12,90,90,120,9.714451465470121e-17,axis_balanced,0.05384922188285,0.0282834569315,0.0367987289681706,0.1614830525744144,0.9828059771659604,0.4171997651433619,0.548737803730976,1.315287901809853
unconditional_vae,3,2,43,subject15,88,89,120,6.938893903907227e-17,raw_rms,0.0565152267970812,0.0232631005769031,0.0339442562357172,0.2263254771843537,1.9692485927705208,1.071336514279215,0.8659425335728393,0.8082824789701462
unconditional_vae,3,2,43,subject15,88,89,120,6.938893903907227e-17,axis_balanced,0.0427849670865059,0.0165526285077917,0.0268018773120589,0.1664497993234147,1.431015190878127,0.7051915086229502,0.7119747697384123,1.0096190340248254
unconditional_vae,3,2,43,subject21,88,90,120,8.326672684688674e-17,raw_rms,0.0917984474605411,0.0333091891003222,0.0462605941674798,0.2711510822599947,3.6910370546893354,2.625740783351889,1.0295276566582967,0.3920903629123866
unconditional_vae,3,2,43,subject21,88,90,120,8.326672684688674e-17,axis_balanced,0.0869891429406211,0.0407067439928612,0.0532997778002094,0.2570531427532844,2.439133172214817,1.568628415097138,0.828764010282887,0.5283367318266803
