geometry,latent_dim,metric,model_a,model_b,n,mean_a,mean_b,mean_b_minus_a,a_better_n,p,q_bh_80,p_holm_80
raw_rms,8,energy,spline_pca,cvae,28,0.0981129898006847,0.05492427970481687,-0.043188710095867826,2,1.043081283569336e-07,1.1920928955078125e-06,7.718801498413086e-06
raw_rms,8,energy,spline_pca,conditional_ae,28,0.0981129898006847,0.09469778053661006,-0.0034152092640746512,13,0.43800119310617447,0.4935224711055487,1.0
raw_rms,8,energy,spline_pca,unconditional_vae,28,0.0981129898006847,0.0547684999643447,-0.04334448983634,3,3.203749656677246e-07,1.971538250262921e-06,2.2105872631072998e-05
raw_rms,8,energy,spline_pca,condition_ridge,28,0.0981129898006847,0.25201391027632275,0.15390092047563805,24,3.993511199951172e-06,1.1832625777633101e-05,0.00021964311599731445
raw_rms,8,energy,cvae,conditional_ae,28,0.05492427970481687,0.09469778053661006,0.03977350083179317,25,4.0978193283081055e-07,2.3416110447474888e-06,2.7455389499664307e-05
raw_rms,8,energy,cvae,unconditional_vae,28,0.05492427970481687,0.0547684999643447,-0.0001557797404721615,16,0.6136380508542061,0.6724800557306367,1.0
raw_rms,8,energy,cvae,condition_ridge,28,0.05492427970481687,0.25201391027632275,0.19708963057150589,25,1.4156103134155273e-07,1.2583202785915798e-06,1.033395528793335e-05
raw_rms,8,energy,conditional_ae,unconditional_vae,28,0.09469778053661006,0.0547684999643447,-0.039929280572265344,3,2.7641654014587402e-06,8.845329284667969e-06,0.00015479326248168945
raw_rms,8,energy,conditional_ae,condition_ridge,28,0.09469778053661006,0.25201391027632275,0.15731612973971273,23,1.5139579772949219e-05,3.906988328503024e-05,0.0007569789886474609
raw_rms,8,energy,unconditional_vae,condition_ridge,28,0.0547684999643447,0.25201391027632275,0.197245410311978,27,5.21540641784668e-08,8.344650268554688e-07,4.06801700592041e-06
raw_rms,8,mmd2,spline_pca,cvae,28,0.07046444694480816,0.02441897626638523,-0.04604547067842293,2,1.4156103134155273e-07,1.2583202785915798e-06,1.033395528793335e-05
raw_rms,8,mmd2,spline_pca,conditional_ae,28,0.07046444694480816,0.06519906550810022,-0.005265381436707926,10,0.156909741461277,0.19925046534765334,1.0
